station_observations
ONE_DAY_PRECIPITATION, MIN_TEMP, time, SNOW_ON_THE_GROUND, MAX_TEMP
1.8, 3.8, 2010-01-02 00:00:00, None, 9.3
3.6, 3.1, 2010-01-03 00:00:00, None, 6.0
37.4, 4.5, 2010-01-04 00:00:00, None, 5.0
7.2, 4.9, 2010-01-05 00:00:00, None, 7.1
0.0, 2.6, 2010-01-06 00:00:00, None, 5.8
0.2, 0.3, 2010-01-07 00:00:00, None, 4.5
15.6, 3.0, 2010-01-08 00:00:00, None, 6.4
1.8, 6.0, 2010-01-09 00:00:00, None, 8.9
1.0, 4.9, 2010-01-10 00:00:00, None, 9.8
28.0, 7.7, 2010-01-11 00:00:00, None, 10.4
2.2, 7.0, 2010-01-13 00:00:00, None, 8.6
22.4, 5.5, 2010-01-14 00:00:00, None, 8.8
22.0, 2.8, 2010-01-15 00:00:00, None, 9.8
0.0, 1.6, 2010-01-16 00:00:00, None, 6.2
1.2, 4.1, 2010-01-17 00:00:00, None, 8.3
1.6, 6.2, 2010-01-18 00:00:00, None, 10.1
0.0, 6.6, 2010-01-19 00:00:00, None, 11.6
0.0, 6.0, 2010-01-20 00:00:00, None, 10.6
0.0, 5.5, 2010-01-21 00:00:00, None, 11.2
0.0, 4.3, 2010-01-22 00:00:00, None, 8.8
0.0, 3.3, 2010-01-23 00:00:00, None, 10.0
4.0, 4.0, 2010-01-24 00:00:00, None, 6.3
0.8, 4.0, 2010-01-25 00:00:00, None, 10.1
0.0, 3.0, 2010-01-26 00:00:00, None, 8.6
0.0, 4.5, 2010-01-27 00:00:00, None, 7.1
0.0, 5.3, 2010-01-28 00:00:00, None, 7.3
0.2, 6.1, 2010-01-29 00:00:00, None, 9.3
5.6, 5.8, 2010-01-30 00:00:00, None, 7.1
0.0, 4.7, 2010-01-31 00:00:00, None, 10.5
3.0, 5.4, 2010-02-01 00:00:00, None, 6.9
1.6, 5.0, 2010-02-02 00:00:00, None, 9.0
0.8, 4.7, 2010-02-03 00:00:00, None, 6.9
0.2, 5.7, 2010-02-04 00:00:00, None, 10.0
1.0, 5.7, 2010-02-05 00:00:00, None, 10.6
0.0, 5.3, 2010-02-06 00:00:00, None, 9.6
2.4, 6.0, 2010-02-07 00:00:00, None, 7.5
0.2, 4.5, 2010-02-08 00:00:00, None, 9.3
0.0, 2.0, 2010-02-09 00:00:00, None, 7.6
0.0, 2.1, 2010-02-10 00:00:00, None, 5.3
3.0, 5.0, 2010-02-11 00:00:00, None, 9.1
4.6, 4.6, 2010-02-12 00:00:00, None, 9.6
1.2, 4.9, 2010-02-13 00:00:00, None, 8.6
4.6, 4.6, 2010-02-14 00:00:00, None, 12.8
0.4, 3.0, 2010-02-15 00:00:00, None, 7.6
5.2, 3.5, 2010-02-16 00:00:00, None, 11.5
0.0, 1.9, 2010-02-17 00:00:00, None, 9.8
0.0, 4.9, 2010-02-18 00:00:00, None, 11.0
0.0, 3.8, 2010-02-19 00:00:00, None, 12.3
0.0, 3.2, 2010-02-20 00:00:00, None, 11.3
0.0, 2.5, 2010-02-21 00:00:00, None, 12.8
0.0, 1.3, 2010-02-22 00:00:00, None, 10.0
0.8, 3.8, 2010-02-23 00:00:00, None, 6.4
10.6, 4.7, 2010-02-24 00:00:00, None, 8.4
1.8, 3.8, 2010-02-25 00:00:00, None, 10.2
2.6, 6.6, 2010-02-26 00:00:00, None, 8.4
5.2, 6.5, 2010-02-27 00:00:00, None, 8.6
0.0, 5.9, 2010-02-28 00:00:00, None, 10.9
0.0, 6.2, 2010-03-01 00:00:00, None, 10.8
2.4, 6.2, 2010-03-02 00:00:00, None, 11.5
0.0, 4.7, 2010-03-03 00:00:00, None, 12.7
0.0, 2.0, 2010-03-04 00:00:00, None, 12.4
0.0, 4.1, 2010-03-05 00:00:00, None, 11.7
0.0, 3.6, 2010-03-06 00:00:00, None, 12.0
1.8, 2.9, 2010-03-07 00:00:00, None, 9.6
0.0, -1.5, 2010-03-08 00:00:00, None, 6.0
0.2, -1.3, 2010-03-09 00:00:00, None, 5.4
2.6, 2.2, 2010-03-10 00:00:00, None, 9.4
11.2, 3.1, 2010-03-11 00:00:00, None, 7.8
14.4, -0.2, 2010-03-12 00:00:00, None, 8.8
1.0, 2.0, 2010-03-13 00:00:00, None, 8.8
5.8, 3.5, 2010-03-14 00:00:00, None, 6.7
2.4, 4.2, 2010-03-15 00:00:00, None, 10.3
1.8, 6.2, 2010-03-16 00:00:00, None, 14.0
0.4, 3.3, 2010-03-17 00:00:00, None, 11.6
0.0, -0.2, 2010-03-18 00:00:00, None, 9.4
0.0, 4.1, 2010-03-19 00:00:00, None, 12.1
0.0, 5.4, 2010-03-20 00:00:00, None, 13.3
0.8, 6.1, 2010-03-21 00:00:00, None, 13.6
0.0, 4.9, 2010-03-22 00:00:00, None, 12.2
0.0, 3.0, 2010-03-23 00:00:00, None, 11.5
0.0, 4.7, 2010-03-24 00:00:00, None, 13.9
5.2, 6.5, 2010-03-25 00:00:00, None, 10.4
1.0, 5.3, 2010-03-26 00:00:00, None, 11.6
0.0, 4.9, 2010-03-27 00:00:00, None, 12.4
3.6, 6.3, 2010-03-28 00:00:00, None, 12.1
37.8, 3.0, 2010-03-29 00:00:00, None, 7.5
1.4, 1.4, 2010-03-30 00:00:00, None, 8.9
0.0, 1.4, 2010-03-31 00:00:00, None, 10.0
0.0, 1.3, 2010-04-01 00:00:00, None, 9.7
14.4, 3.2, 2010-04-02 00:00:00, None, 7.6
5.6, 2.1, 2010-04-03 00:00:00, None, 6.9
0.0, 3.7, 2010-04-04 00:00:00, None, 10.8
0.0, 5.2, 2010-04-05 00:00:00, None, 10.6
0.4, 4.2, 2010-04-06 00:00:00, None, 10.8
7.0, 4.4, 2010-04-07 00:00:00, None, 8.5
5.4, 2.6, 2010-04-08 00:00:00, None, 9.3
1.2, -0.3, 2010-04-09 00:00:00, None, 9.2
0.0, 0.9, 2010-04-10 00:00:00, None, 10.8
0.0, 6.2, 2010-04-11 00:00:00, None, 13.3
0.0, 8.7, 2010-04-12 00:00:00, None, 14.4
0.0, 6.0, 2010-04-13 00:00:00, None, 13.0
0.0, 4.2, 2010-04-14 00:00:00, None, 13.6
0.6, 5.4, 2010-04-15 00:00:00, None, 13.7
0.0, 6.3, 2010-04-16 00:00:00, None, 17.4
3.4, 6.9, 2010-04-17 00:00:00, None, 13.8
0.0, 8.2, 2010-04-18 00:00:00, None, 16.1
2.4, 10.3, 2010-04-19 00:00:00, None, 20.8
12.2, 8.0, 2010-04-20 00:00:00, None, 10.9
0.4, 5.5, 2010-04-21 00:00:00, None, 11.6
0.0, 3.9, 2010-04-22 00:00:00, None, 14.6
7.6, 2.4, 2010-04-23 00:00:00, None, 10.7
4.4, 4.0, 2010-04-24 00:00:00, None, 9.4
0.0, 3.9, 2010-04-25 00:00:00, None, 11.9
0.0, 7.8, 2010-04-26 00:00:00, None, 15.2
1.0, 7.3, 2010-04-27 00:00:00, None, 13.7
3.0, 5.8, 2010-04-28 00:00:00, None, 13.2
0.0, 6.7, 2010-04-29 00:00:00, None, 13.5
0.8, 5.3, 2010-04-30 00:00:00, None, 13.1
0.8, 5.1, 2010-05-01 00:00:00, None, 12.4
13.2, 5.5, 2010-05-02 00:00:00, None, 9.7
11.6, 4.6, 2010-05-03 00:00:00, None, 11.8
7.4, 1.2, 2010-05-04 00:00:00, None, 10.2
0.0, 1.0, 2010-05-05 00:00:00, None, 12.4
3.2, 3.1, 2010-05-06 00:00:00, None, 13.0
0.0, 4.8, 2010-05-07 00:00:00, None, 15.6
0.0, 5.3, 2010-05-08 00:00:00, None, 16.7
0.0, 4.8, 2010-05-09 00:00:00, None, 16.3
2.6, 7.2, 2010-05-10 00:00:00, None, 15.7
0.0, 6.3, 2010-05-11 00:00:00, None, 18.0
0.0, 5.0, 2010-05-12 00:00:00, None, 15.3
0.0, 6.3, 2010-05-13 00:00:00, None, 18.3
0.0, 7.9, 2010-05-14 00:00:00, None, 20.8
0.0, 8.2, 2010-05-15 00:00:00, None, 20.3
0.2, 9.7, 2010-05-16 00:00:00, None, 19.9
0.0, 10.4, 2010-05-17 00:00:00, None, 19.0
4.6, 9.6, 2010-05-18 00:00:00, None, 16.2
1.8, 8.2, 2010-05-19 00:00:00, None, 15.5
7.4, 5.4, 2010-05-20 00:00:00, None, 12.7
0.0, 6.3, 2010-05-21 00:00:00, None, 12.6
1.0, 4.6, 2010-05-22 00:00:00, None, 13.8
0.0, 6.4, 2010-05-23 00:00:00, None, 14.2
0.0, 7.1, 2010-05-24 00:00:00, None, 15.2
1.0, 8.5, 2010-05-25 00:00:00, None, 14.1
7.4, 9.7, 2010-05-26 00:00:00, None, 12.4
0.0, 8.9, 2010-05-27 00:00:00, None, 15.7
6.8, 9.9, 2010-05-28 00:00:00, None, 13.9
0.8, 8.8, 2010-05-29 00:00:00, None, 13.6
2.6, 4.3, 2010-05-30 00:00:00, None, 12.7
6.2, 9.1, 2010-05-31 00:00:00, None, 16.1
2.0, 7.5, 2010-06-01 00:00:00, None, 15.4
3.8, 7.7, 2010-06-02 00:00:00, None, 15.5
0.0, 5.5, 2010-06-03 00:00:00, None, 15.4
5.2, 9.1, 2010-06-04 00:00:00, None, 17.7
0.0, 7.5, 2010-06-05 00:00:00, None, 18.1
6.2, 10.9, 2010-06-06 00:00:00, None, 14.1
0.0, 10.5, 2010-06-07 00:00:00, None, 19.8
