station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
8.8, 8.8, 3.5, 0.0, 2010-01-03 00:00:00, 0.0, 6.5
2.4, 2.4, 4.0, 0.0, 2010-01-04 00:00:00, 0.0, 6.0
0.4, 0.4, 3.5, 0.0, 2010-01-05 00:00:00, 0.0, 6.5
0.0, 0.0, 2.0, 0.0, 2010-01-06 00:00:00, 0.0, 5.5
6.6, 6.6, 0.5, 0.0, 2010-01-07 00:00:00, 0.0, 5.0
27.8, 27.8, 1.0, 0.0, 2010-01-08 00:00:00, 0.0, 7.5
4.2, 4.2, 4.0, 0.0, 2010-01-09 00:00:00, 0.0, 9.5
46.6, 46.6, 7.5, 0.0, 2010-01-10 00:00:00, 0.0, 9.5
41.0, 41.0, 7.5, 0.0, 2010-01-11 00:00:00, 0.0, 12.0
5.0, 5.0, 8.5, 0.0, 2010-01-12 00:00:00, 0.0, 10.0
9.4, 9.4, 7.5, 0.0, 2010-01-13 00:00:00, 0.0, 9.0
71.8, 71.8, 7.0, 0.0, 2010-01-14 00:00:00, 0.0, 9.0
1.2, 1.2, 6.5, 0.0, 2010-01-15 00:00:00, 0.0, 8.0
8.6, 8.6, 1.5, 0.0, 2010-01-16 00:00:00, 0.0, 6.0
14.6, 14.6, 2.5, 0.0, 2010-01-17 00:00:00, 0.0, 9.0
3.8, 3.8, 4.0, 0.0, 2010-01-18 00:00:00, 0.0, 10.0
5.6, 5.6, 3.5, 0.0, 2010-01-19 00:00:00, 0.0, 8.0
3.6, 3.6, 4.0, 0.0, 2010-01-20 00:00:00, 0.0, 10.5
0.6, 0.6, 4.5, 0.0, 2010-01-21 00:00:00, 0.0, 7.5
0.0, 0.0, 3.0, 0.0, 2010-01-22 00:00:00, 0.0, 10.5
0.0, 0.0, 1.0, 0.0, 2010-01-23 00:00:00, 0.0, 6.5
19.0, 19.0, 2.0, 0.0, 2010-01-24 00:00:00, 0.0, 8.0
19.6, 19.6, 5.0, 0.0, 2010-01-25 00:00:00, 0.0, 7.5
