station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
27.8, 27.8, 0.0, 2010-01-01 00:00:00, 0.0
1.4, 1.4, 0.0, 2010-01-02 00:00:00, 0.0
12.7, 12.7, 0.0, 2010-01-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-01-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-01-05 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-01-06 00:00:00, 0.0
22.7, 22.7, 0.0, 2010-01-07 00:00:00, 0.0
41.0, 41.0, 0.0, 2010-01-08 00:00:00, 0.0
6.5, 6.5, 0.0, 2010-01-09 00:00:00, 0.0
76.8, 76.8, 0.0, 2010-01-10 00:00:00, 0.0
62.9, 62.9, 0.0, 2010-01-11 00:00:00, 0.0
13.4, 13.4, 0.0, 2010-01-12 00:00:00, 0.0
13.2, 13.2, 0.0, 2010-01-13 00:00:00, 0.0
96.1, 96.1, 0.0, 2010-01-14 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-01-15 00:00:00, 0.0
18.2, 18.2, 0.0, 2010-01-16 00:00:00, 0.0
12.4, 12.4, 0.0, 2010-01-17 00:00:00, 0.0
11.6, 11.6, 0.0, 2010-01-18 00:00:00, 0.0
44.1, 44.1, 0.0, 2010-01-19 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-01-20 00:00:00, 0.0
2.2, 2.2, 0.0, 2010-01-21 00:00:00, 0.0
1.0, 1.0, 0.0, 2010-01-22 00:00:00, 0.0
2.8, 2.8, 0.0, 2010-01-23 00:00:00, 0.0
28.4, 28.4, 0.0, 2010-01-24 00:00:00, 0.0
41.3, 41.3, 0.0, 2010-01-25 00:00:00, 0.0
0.4, 0.4, 0.0, 2010-01-26 00:00:00, 0.0
12.2, 12.2, 0.0, 2010-01-27 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-01-28 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-01-29 00:00:00, 0.0
7.5, 7.5, 0.0, 2010-01-31 00:00:00, None
9.1, 9.1, 0.0, 2010-02-01 00:00:00, 0.0
2.3, 2.3, 0.0, 2010-02-02 00:00:00, 0.0
0.4, 0.4, 0.0, 2010-02-03 00:00:00, 0.0
12.2, 12.2, 0.0, 2010-02-04 00:00:00, 0.0
28.6, 28.6, 0.0, 2010-02-05 00:00:00, 0.0
15.9, 15.9, 0.0, 2010-02-06 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-02-07 00:00:00, 0.0
3.0, 3.0, 0.0, 2010-02-08 00:00:00, 0.0
4.8, 4.8, 0.0, 2010-02-09 00:00:00, 0.0
46.0, 46.0, 0.0, 2010-02-11 00:00:00, 0.0
29.4, 29.4, 0.0, 2010-02-12 00:00:00, 0.0
90.4, 90.4, 0.0, 2010-02-13 00:00:00, 0.0
0.7, 0.7, 0.0, 2010-02-14 00:00:00, 0.0
19.6, 19.6, 0.0, 2010-02-15 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-02-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-21 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-02-22 00:00:00, 0.0
13.7, 13.7, 0.0, 2010-02-23 00:00:00, 0.0
23.1, 23.1, 0.0, 2010-02-24 00:00:00, 0.0
8.0, 8.0, 0.0, 2010-02-25 00:00:00, 0.0
13.8, 13.8, 0.0, 2010-02-26 00:00:00, 0.0
3.4, 3.4, 0.0, 2010-02-27 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-02-28 00:00:00, 0.0
11.2, 11.2, 0.0, 2010-03-01 00:00:00, 0.0
20.2, 20.2, 0.0, 2010-03-02 00:00:00, 0.0
4.8, 4.8, 0.0, 2010-03-04 00:00:00, None
0.0, 0.0, 0.0, 2010-03-05 00:00:00, 0.0
10.4, 10.4, 0.0, 2010-03-06 00:00:00, 0.0
5.9, 5.9, 0.0, 2010-03-07 00:00:00, 0.0
13.3, 13.3, 0.0, 2010-03-08 00:00:00, 0.0
31.0, 31.0, 0.0, 2010-03-15 00:00:00, 0.0
50.7, 50.7, 0.0, 2010-03-16 00:00:00, 0.0
0.7, 0.7, 0.0, 2010-03-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-03-18 00:00:00, 0.0
0.3, 0.3, 0.0, 2010-03-19 00:00:00, 0.0
17.1, 17.1, 0.0, 2010-03-20 00:00:00, 0.0
20.4, 20.4, 0.0, 2010-03-21 00:00:00, 0.0
2.8, 2.8, 0.0, 2010-03-22 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-03-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-03-24 00:00:00, 0.0
9.2, 9.2, 0.0, 2010-03-25 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-03-26 00:00:00, 0.0
2.6, 2.6, 0.0, 2010-03-27 00:00:00, 0.0
8.2, 8.2, 0.0, 2010-03-30 00:00:00, 0.0
0.8, 0.8, 0.0, 2010-03-31 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-01 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-04 00:00:00, 0.0
80.9, 80.9, 0.0, 2010-04-05 00:00:00, 0.0
37.0, 37.0, 0.0, 2010-04-06 00:00:00, 0.0
61.4, 61.4, 0.0, 2010-04-07 00:00:00, 0.0
13.5, 13.5, 0.0, 2010-04-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-10 00:00:00, 0.0
0.4, 0.4, 0.0, 2010-04-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-14 00:00:00, 0.0
2.2, 2.2, 0.0, 2010-04-15 00:00:00, 0.0
3.2, 3.2, 0.0, 2010-04-16 00:00:00, 0.0
4.4, 4.4, 0.0, 2010-04-17 00:00:00, 0.0
1.6, 1.6, 0.0, 2010-04-18 00:00:00, 0.0
2.2, 2.2, 0.0, 2010-04-19 00:00:00, 0.0
2.2, 2.2, 0.0, 2010-04-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-21 00:00:00, 0.0
38.5, 38.5, 0.0, 2010-04-22 00:00:00, 0.0
2.0, 2.0, 0.0, 2010-04-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-24 00:00:00, 0.0
0.6, 0.6, 0.0, 2010-04-25 00:00:00, 0.0
25.2, 25.2, 0.0, 2010-04-26 00:00:00, 0.0
6.7, 6.7, 0.0, 2010-04-27 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-04-28 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-04-29 00:00:00, 0.0
7.0, 7.0, 0.0, 2010-04-30 00:00:00, 0.0
0.4, 0.4, 0.0, 2010-05-01 00:00:00, 0.0
31.1, 31.1, 0.0, 2010-05-02 00:00:00, 0.0
9.4, 9.4, 0.0, 2010-05-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-05 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-14 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-05-16 00:00:00, 0.0
3.2, 3.2, 0.0, 2010-05-17 00:00:00, 0.0
19.3, 19.3, 0.0, 2010-05-18 00:00:00, 0.0
30.0, 30.0, 0.0, 2010-05-20 00:00:00, 0.0
3.0, 3.0, 0.0, 2010-05-22 00:00:00, 0.0
11.5, 11.5, 0.0, 2010-05-24 00:00:00, None
3.8, 3.8, 0.0, 2010-05-25 00:00:00, 0.0
2.4, 2.4, 0.0, 2010-05-26 00:00:00, 0.0
0.4, 0.4, 0.0, 2010-05-27 00:00:00, 0.0
1.9, 1.9, 0.0, 2010-05-28 00:00:00, 0.0
1.6, 1.6, 0.0, 2010-05-29 00:00:00, 0.0
19.8, 19.8, 0.0, 2010-05-30 00:00:00, 0.0
9.1, 9.1, 0.0, 2010-05-31 00:00:00, 0.0
19.0, 19.0, 0.0, 2010-06-01 00:00:00, 0.0
14.5, 14.5, 0.0, 2010-06-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-07 00:00:00, 0.0
4.2, 4.2, 0.0, 2010-06-08 00:00:00, 0.0
12.6, 12.6, 0.0, 2010-06-09 00:00:00, 0.0
0.5, 0.5, 0.0, 2010-06-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-15 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-17 00:00:00, 0.0
0.2, 0.2, 0.0, 2010-06-18 00:00:00, 0.0
0.1, 0.1, 0.0, 2010-06-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-22 00:00:00, 0.0
5.9, 5.9, 0.0, 2010-06-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-24 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-25 00:00:00, 0.0
5.2, 5.2, 0.0, 2010-06-26 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-06-27 00:00:00, 0.0
10.5, 10.5, 0.0, 2010-06-28 00:00:00, 0.0
9.2, 9.2, 0.0, 2010-06-29 00:00:00, 0.0
1.8, 1.8, 0.0, 2010-07-01 00:00:00, None
0.0, 0.0, 0.0, 2010-07-02 00:00:00, 0.0
1.6, 1.6, 0.0, 2010-07-03 00:00:00, 0.0
1.4, 1.4, 0.0, 2010-07-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-05 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-06 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-14 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-16 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-17 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-18 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-19 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-20 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-21 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-22 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-23 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-24 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-25 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-26 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-27 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-28 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-29 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-30 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-07-31 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-01 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-02 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-03 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-04 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-05 00:00:00, 0.0
15.2, 15.2, 0.0, 2010-08-06 00:00:00, 0.0
1.2, 1.2, 0.0, 2010-08-07 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-08 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-09 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-10 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-11 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-12 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-13 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-14 00:00:00, 0.0
0.0, 0.0, 0.0, 2010-08-15 00:00:00, 0.0
