station_observations
ONE_DAY_PRECIPITATION, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
3.0, 2010-01-02 00:00:00, 2.2, 6.4, None
4.6, 2010-01-03 00:00:00, 3.7, 5.2, None
13.0, 2010-01-04 00:00:00, 3.1, 5.4, None
0.6, 2010-01-05 00:00:00, 3.5, 7.3, None
0.0, 2010-01-06 00:00:00, 0.9, 6.3, None
9.6, 2010-01-07 00:00:00, -1.0, 4.4, None
29.6, 2010-01-08 00:00:00, 2.8, 4.6, None
25.2, 2010-01-09 00:00:00, 4.5, 10.8, None
55.8, 2010-01-10 00:00:00, 6.6, 12.3, None
95.6, 2010-01-11 00:00:00, 10.0, 12.3, None
8.8, 2010-01-13 00:00:00, 5.2, 8.3, None
59.8, 2010-01-14 00:00:00, 3.7, 8.2, None
59.6, 2010-01-15 00:00:00, 0.7, 10.9, None
0.0, 2010-01-16 00:00:00, 0.4, 6.5, None
24.2, 2010-01-17 00:00:00, 2.0, 5.5, None
24.2, 2010-01-18 00:00:00, 3.3, 9.1, None
5.6, 2010-01-19 00:00:00, 4.0, 7.7, None
4.4, 2010-01-20 00:00:00, 3.1, 9.1, None
0.4, 2010-01-21 00:00:00, 2.2, 8.1, None
0.0, 2010-01-22 00:00:00, 1.2, 5.0, None
0.8, 2010-01-23 00:00:00, 0.2, 5.1, None
16.0, 2010-01-24 00:00:00, 2.8, 6.6, None
35.0, 2010-01-25 00:00:00, 2.0, 6.1, None
4.0, 2010-01-26 00:00:00, 2.6, 6.9, None
0.0, 2010-01-27 00:00:00, 3.4, 5.9, None
6.0, 2010-01-28 00:00:00, 2.3, 4.4, None
5.2, 2010-01-29 00:00:00, 2.7, 5.9, None
2.0, 2010-01-30 00:00:00, 4.9, 8.0, None
0.4, 2010-01-31 00:00:00, 4.9, 9.5, None
3.0, 2010-02-01 00:00:00, 3.9, 6.7, None
6.2, 2010-02-02 00:00:00, 3.9, 6.5, None
0.4, 2010-02-03 00:00:00, 2.4, 8.3, None
0.4, 2010-02-04 00:00:00, 3.2, 9.2, None
12.2, 2010-02-05 00:00:00, 5.3, 11.8, None
4.8, 2010-02-06 00:00:00, 5.2, 8.8, None
0.0, 2010-02-07 00:00:00, 4.6, 9.6, None
0.0, 2010-02-08 00:00:00, 0.9, 10.0, None
0.2, 2010-02-09 00:00:00, 1.1, 3.7, None
3.4, 2010-02-10 00:00:00, 2.1, 5.9, None
36.8, 2010-02-11 00:00:00, 3.9, 9.1, None
25.4, 2010-02-12 00:00:00, 3.5, 9.2, None
54.2, 2010-02-13 00:00:00, 2.7, 9.2, None
8.0, 2010-02-14 00:00:00, 0.3, 11.7, None
2.8, 2010-02-15 00:00:00, 0.0, 7.2, None
12.8, 2010-02-16 00:00:00, -0.2, 11.3, None
0.2, 2010-02-17 00:00:00, -1.5, 10.6, None
0.2, 2010-02-18 00:00:00, -3.8, 13.0, None
0.0, 2010-02-19 00:00:00, -3.7, 13.0, None
0.2, 2010-02-20 00:00:00, -2.6, 12.7, None
0.2, 2010-02-21 00:00:00, -2.3, 12.0, None
0.0, 2010-02-22 00:00:00, -2.1, 10.0, None
10.2, 2010-02-23 00:00:00, 1.2, 5.2, None
15.2, 2010-02-24 00:00:00, 2.4, 6.4, None
12.0, 2010-02-25 00:00:00, 2.1, 10.0, None
25.8, 2010-02-26 00:00:00, 3.5, 6.0, None
7.4, 2010-02-27 00:00:00, 4.7, 10.4, None
0.2, 2010-02-28 00:00:00, 5.7, 11.6, None
0.0, 2010-03-01 00:00:00, 4.4, 9.7, None
8.8, 2010-03-02 00:00:00, 2.9, 9.4, None
0.0, 2010-03-03 00:00:00, 1.6, 12.5, None
0.4, 2010-03-04 00:00:00, 2.0, 10.2, None
0.4, 2010-03-05 00:00:00, 1.8, 13.6, None
0.2, 2010-03-06 00:00:00, 0.1, 13.7, None
3.8, 2010-03-07 00:00:00, -0.6, 8.0, None
