station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
5.0, 5.0, 0.0, 2010-01-01 00:00:00, 6.2, 9.6, 0.0
3.6, 3.6, 0.0, 2010-01-02 00:00:00, 6.6, 8.7, 0.0
22.2, 22.2, 0.0, 2010-01-03 00:00:00, 4.9, 8.4, 0.0
3.2, 3.2, 0.0, 2010-01-04 00:00:00, 5.8, 9.5, 0.0
0.2, 0.2, 0.0, 2010-01-05 00:00:00, 7.5, 9.6, 0.0
0.0, 0.0, 0.0, 2010-01-06 00:00:00, 7.8, 10.0, 0.0
12.8, 12.8, 0.0, 2010-01-07 00:00:00, 5.8, 12.1, 0.0
34.6, 34.6, 0.0, 2010-01-08 00:00:00, 8.0, 10.5, 0.0
5.0, 5.0, 0.0, 2010-01-09 00:00:00, 9.0, 11.2, 0.0
45.6, 45.6, 0.0, 2010-01-10 00:00:00, 9.2, 12.3, 0.0
48.2, 48.2, 0.0, 2010-01-11 00:00:00, 9.8, 11.0, 0.0
11.2, 11.2, 0.0, 2010-01-12 00:00:00, 9.0, 9.9, 0.0
17.8, 17.8, 0.0, 2010-01-13 00:00:00, 8.4, 11.0, 0.0
82.4, 82.4, 0.0, 2010-01-14 00:00:00, 7.5, 9.8, 0.0
0.0, 0.0, 0.0, 2010-01-15 00:00:00, 6.7, 9.3, 0.0
14.4, 14.4, 0.0, 2010-01-16 00:00:00, 0.4, 9.5, 0.0
34.4, 34.4, 0.0, 2010-01-17 00:00:00, 5.7, 10.0, 0.0
8.4, 8.4, 0.0, 2010-01-18 00:00:00, 6.8, 10.9, 0.0
33.4, 33.4, 0.0, 2010-01-19 00:00:00, 5.9, 9.3, 0.0
8.2, 8.2, 0.0, 2010-01-20 00:00:00, 6.3, 8.6, 0.0
3.6, 3.6, 0.0, 2010-01-21 00:00:00, 5.5, 8.6, 0.0
0.8, 0.8, 0.0, 2010-01-22 00:00:00, 2.4, 9.4, 0.0
10.4, 10.4, 0.0, 2010-01-23 00:00:00, 3.1, 8.6, 0.0
18.4, 18.4, 0.0, 2010-01-24 00:00:00, 6.3, 9.2, 0.0
17.6, 17.6, 0.0, 2010-01-25 00:00:00, 6.6, 9.6, 0.0
0.6, 0.6, 0.0, 2010-01-26 00:00:00, 3.5, 8.9, 0.0
3.2, 3.2, 0.0, 2010-01-27 00:00:00, 1.2, 7.3, 0.0
3.0, 3.0, 0.0, 2010-01-28 00:00:00, 5.6, 11.4, 0.0
10.0, 10.0, 0.0, 2010-01-29 00:00:00, 7.3, 9.0, 0.0
5.0, 5.0, 0.0, 2010-01-30 00:00:00, 8.0, 9.0, 0.0
0.6, 0.6, 0.0, 2010-01-31 00:00:00, 6.8, 10.1, 0.0
9.2, 9.2, 0.0, 2010-02-01 00:00:00, 5.9, 8.3, 0.0
5.8, 5.8, 0.0, 2010-02-02 00:00:00, 6.3, 8.9, 0.0
3.8, 3.8, 0.0, 2010-02-03 00:00:00, 6.0, 9.0, 0.0
11.2, 11.2, 0.0, 2010-02-04 00:00:00, 6.3, 11.4, 0.0
20.4, 20.4, 0.0, 2010-02-05 00:00:00, 8.3, 12.1, 0.0
12.0, 12.0, 0.0, 2010-02-06 00:00:00, 8.2, 9.7, 0.0
0.4, 0.4, 0.0, 2010-02-07 00:00:00, 4.5, 10.4, 0.0
0.2, 0.2, 0.0, 2010-02-08 00:00:00, 4.7, 9.4, 0.0
3.8, 3.8, 0.0, 2010-02-09 00:00:00, 2.0, 9.0, 0.0
19.6, 19.6, 0.0, 2010-02-10 00:00:00, 5.0, 8.5, 0.0
29.8, 29.8, 0.0, 2010-02-11 00:00:00, 5.3, 10.8, 0.0
25.4, 25.4, 0.0, 2010-02-12 00:00:00, 6.2, 9.7, 0.0
47.6, 47.6, 0.0, 2010-02-13 00:00:00, 6.4, 9.9, 0.0
0.0, 0.0, 0.0, 2010-02-14 00:00:00, 4.5, 10.5, 0.0
12.6, 12.6, 0.0, 2010-02-15 00:00:00, 1.4, 10.3, 0.0
0.0, 0.0, 0.0, 2010-02-16 00:00:00, 5.2, 10.5, 0.0
0.0, 0.0, 0.0, 2010-02-17 00:00:00, 0.0, 11.6, 0.0
0.0, 0.0, 0.0, 2010-02-18 00:00:00, -1.2, 16.6, 0.0
0.0, 0.0, 0.0, 2010-02-19 00:00:00, -0.2, 11.8, 0.0
0.0, 0.0, 0.0, 2010-02-20 00:00:00, 0.1, 11.3, 0.0
0.0, 0.0, 0.0, 2010-02-21 00:00:00, 0.5, 10.8, 0.0
0.2, 0.2, 0.0, 2010-02-22 00:00:00, -0.3, 12.8, 0.0
38.4, 38.4, 0.0, 2010-02-23 00:00:00, 5.1, 9.0, 0.0
9.2, 9.2, 0.0, 2010-02-24 00:00:00, 5.6, 10.2, 0.0
15.0, 15.0, 0.0, 2010-02-25 00:00:00, 7.8, 10.4, 0.0
12.0, 12.0, 0.0, 2010-02-26 00:00:00, 7.0, 11.4, 0.0
8.2, 8.2, 0.0, 2010-02-27 00:00:00, 7.0, 11.0, 0.0
0.8, 0.8, 0.0, 2010-02-28 00:00:00, 7.1, 9.8, 0.0
8.4, 8.4, 0.0, 2010-03-01 00:00:00, 6.8, 11.1, 0.0
8.6, 8.6, 0.0, 2010-03-02 00:00:00, 7.7, 9.6, 0.0
0.0, 0.0, 0.0, 2010-03-03 00:00:00, 1.8, 11.5, 0.0
17.4, 17.4, 0.0, 2010-03-04 00:00:00, 3.8, 9.7, 0.0
0.0, 0.0, 0.0, 2010-03-05 00:00:00, 5.6, 13.4, 0.0
0.4, 0.4, 0.0, 2010-03-06 00:00:00, 1.8, 13.3, 0.0
7.8, 7.8, 0.0, 2010-03-07 00:00:00, 4.2, 9.3, 0.0
0.0, 0.0, 0.0, 2010-03-08 00:00:00, 0.8, 9.3, 0.0
29.6, 29.6, 0.0, 2010-03-09 00:00:00, 1.0, 5.0, 0.0
44.6, 44.6, 0.0, 2010-03-10 00:00:00, -0.5, 7.2, 0.0
27.2, 27.2, 0.0, 2010-03-12 00:00:00, 0.8, 8.3, 0.0
19.4, 19.4, 0.0, 2010-03-13 00:00:00, 2.3, 8.8, 0.0
26.4, 26.4, 0.0, 2010-03-14 00:00:00, 3.6, 6.3, 0.0
17.0, 17.0, 0.0, 2010-03-15 00:00:00, 3.6, 9.4, 0.0
29.0, 29.0, 0.0, 2010-03-16 00:00:00, 3.8, 10.8, 0.0
0.4, 0.4, 0.0, 2010-03-17 00:00:00, 2.0, 9.8, 0.0
0.0, 0.0, 0.0, 2010-03-18 00:00:00, -0.6, 10.2, 0.0
0.0, 0.0, 0.0, 2010-03-19 00:00:00, -0.2, 11.3, 0.0
14.8, 14.8, 0.0, 2010-03-20 00:00:00, 0.8, 15.8, 0.0
10.2, 10.2, 0.0, 2010-03-21 00:00:00, 5.0, 10.5, 0.0
0.8, 0.8, 0.0, 2010-03-22 00:00:00, 5.4, 9.3, 0.0
0.4, 0.4, 0.0, 2010-03-23 00:00:00, 5.7, 10.7, 0.0
2.2, 2.2, 0.0, 2010-03-24 00:00:00, 3.0, 16.0, 0.0
16.8, 16.8, 0.0, 2010-03-25 00:00:00, 7.6, 10.8, 0.0
1.8, 1.8, 0.0, 2010-03-26 00:00:00, 6.2, 10.8, 0.0
10.6, 10.6, 0.0, 2010-03-27 00:00:00, 6.3, 13.4, 0.0
26.8, 26.8, 0.0, 2010-03-28 00:00:00, 6.5, 10.4, 0.0
15.0, 15.0, 0.0, 2010-03-29 00:00:00, 5.4, 9.0, 0.0
3.8, 3.8, 0.0, 2010-03-30 00:00:00, 2.2, 6.8, 0.0
0.8, 0.8, 0.0, 2010-03-31 00:00:00, 1.5, 10.4, 0.0
52.4, 52.4, 0.0, 2010-04-01 00:00:00, 2.4, 8.4, 0.0
25.8, 25.8, 0.0, 2010-04-02 00:00:00, 4.2, 7.0, 0.0
9.6, 9.6, 0.0, 2010-04-03 00:00:00, 2.6, 7.0, 0.0
16.8, 16.8, 0.0, 2010-04-04 00:00:00, 2.9, 10.0, 0.0
6.2, 6.2, 0.0, 2010-04-05 00:00:00, 3.3, 10.5, 0.0
11.0, 11.0, 0.0, 2010-04-06 00:00:00, 4.0, 10.4, 0.0
36.2, 36.2, 0.0, 2010-04-07 00:00:00, 5.8, 8.7, 0.0
10.4, 10.4, 0.0, 2010-04-08 00:00:00, 2.3, 7.9, 0.0
0.0, 0.0, 0.0, 2010-04-09 00:00:00, -0.1, 8.2, 0.0
0.0, 0.0, 0.0, 2010-04-10 00:00:00, 0.0, 13.3, 0.0
0.0, 0.0, 0.0, 2010-04-11 00:00:00, 3.3, 14.3, 0.0
0.0, 0.0, 0.0, 2010-04-12 00:00:00, 4.8, 14.8, 0.0
0.6, 0.6, 0.0, 2010-04-13 00:00:00, 3.4, 11.6, 0.0
0.0, 0.0, 0.0, 2010-04-14 00:00:00, 4.1, 13.2, 0.0
2.4, 2.4, 0.0, 2010-04-15 00:00:00, 3.7, 12.4, 0.0
3.2, 3.2, 0.0, 2010-04-16 00:00:00, 3.7, 15.9, 0.0
8.0, 8.0, 0.0, 2010-04-17 00:00:00, 6.1, 12.2, 0.0
3.2, 3.2, 0.0, 2010-04-18 00:00:00, 8.6, 14.1, 0.0
7.8, 7.8, 0.0, 2010-04-19 00:00:00, 8.7, 15.3, 0.0
0.2, 0.2, 0.0, 2010-04-20 00:00:00, 8.0, 11.9, 0.0
0.0, 0.0, 0.0, 2010-04-21 00:00:00, 5.4, 13.2, 0.0
0.0, 0.0, 0.0, 2010-04-22 00:00:00, 6.1, 12.5, 0.0
20.2, 20.2, 0.0, 2010-04-23 00:00:00, 4.1, 8.8, 0.0
6.4, 6.4, 0.0, 2010-04-24 00:00:00, 5.3, 10.9, 0.0
