station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
30.4, 30.4, 0.0, 2010-01-02 00:00:00, None, None, None
10.0, 10.0, 0.0, 2010-01-05 00:00:00, None, None, None
33.0, 33.0, 0.0, 2010-01-09 00:00:00, None, None, None
13.3, 13.3, 0.0, 2010-01-13 00:00:00, None, None, None
9.1, 9.1, 0.0, 2010-01-16 00:00:00, None, None, None
6.7, 6.7, 0.0, 2010-01-17 00:00:00, None, None, 0.0
1.4, 1.4, 0.0, 2010-01-23 00:00:00, None, None, None
13.2, 13.2, 0.0, 2010-01-25 00:00:00, None, None, None
0.3, 0.3, 0.0, 2010-01-27 00:00:00, None, None, None
6.0, 6.0, 0.0, 2010-01-29 00:00:00, None, None, None
4.3, 4.3, 0.0, 2010-01-30 00:00:00, None, None, 0.0
11.0, 11.0, 0.0, 2010-02-01 00:00:00, None, None, None
2.0, 2.0, 0.0, 2010-02-03 00:00:00, None, None, None
6.9, 6.9, 0.0, 2010-02-04 00:00:00, None, None, 0.0
1.6, 1.6, 0.0, 2010-02-07 00:00:00, None, None, None
0.3, 0.3, 0.0, 2010-02-09 00:00:00, None, None, None
0.2, 0.2, 0.0, 2010-03-06 00:00:00, None, None, None
9.4, 9.4, 0.0, 2010-03-09 00:00:00, None, None, None
16.0, 16.0, 0.0, 2010-03-14 00:00:00, None, None, None
7.7, 7.7, 0.0, 2010-03-16 00:00:00, None, None, None
9.5, 9.5, 0.0, 2010-03-27 00:00:00, None, None, None
16.6, 16.6, 0.0, 2010-03-28 00:00:00, None, None, 0.0
7.8, 7.8, 0.0, 2010-03-29 00:00:00, None, None, 0.0
27.0, 27.0, 0.0, 2010-04-01 00:00:00, None, None, None
13.2, 13.2, 0.0, 2010-04-03 00:00:00, None, None, None
18.3, 18.3, 0.0, 2010-04-04 00:00:00, None, None, 0.0
7.2, 7.2, 0.0, 2010-04-05 00:00:00, None, None, 0.0
21.3, 21.3, 0.0, 2010-04-07 00:00:00, None, None, None
0.6, 0.6, 0.0, 2010-04-09 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-04-10 00:00:00, None, None, 0.0
0.0, 0.0, 0.0, 2010-04-13 00:00:00, None, None, None
1.7, 1.7, 0.0, 2010-04-16 00:00:00, None, None, None
10.4, 10.4, 0.0, 2010-04-17 00:00:00, None, None, 0.0
3.9, 3.9, 0.0, 2010-04-19 00:00:00, None, None, None
2.2, 2.2, 0.0, 2010-04-22 00:00:00, None, None, None
10.3, 10.3, 0.0, 2010-04-24 00:00:00, None, None, None
1.8, 1.8, 0.0, 2010-04-30 00:00:00, None, None, None
17.7, 17.7, 0.0, 2010-05-03 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-05-06 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-05-08 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-05-10 00:00:00, None, None, None
1.0, 1.0, 0.0, 2010-05-17 00:00:00, None, None, None
9.6, 9.6, 0.0, 2010-05-18 00:00:00, None, None, 0.0
5.8, 5.8, 0.0, 2010-05-19 00:00:00, None, None, 0.0
0.3, 0.3, 0.0, 2010-05-20 00:00:00, None, None, 0.0
0.8, 0.8, 0.0, 2010-05-22 00:00:00, None, None, None
4.9, 4.9, 0.0, 2010-05-24 00:00:00, None, None, None
6.4, 6.4, 0.0, 2010-05-26 00:00:00, None, None, None
10.6, 10.6, 0.0, 2010-05-27 00:00:00, None, None, 0.0
4.0, 4.0, 0.0, 2010-05-28 00:00:00, None, None, 0.0
8.5, 8.5, 0.0, 2010-05-30 00:00:00, None, None, None
23.3, 23.3, 0.0, 2010-06-01 00:00:00, None, None, None
5.7, 5.7, 0.0, 2010-06-03 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-06-05 00:00:00, None, None, None
5.0, 5.0, 0.0, 2010-06-06 00:00:00, None, None, 0.0
12.8, 12.8, 0.0, 2010-06-08 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-06-12 00:00:00, None, None, None
17.0, 17.0, 0.0, 2010-06-14 00:00:00, None, None, None
1.9, 1.9, 0.0, 2010-06-15 00:00:00, None, None, 0.0
0.2, 0.2, 0.0, 2010-06-17 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-06-23 00:00:00, None, None, None
0.4, 0.4, 0.0, 2010-06-26 00:00:00, None, None, None
1.9, 1.9, 0.0, 2010-06-27 00:00:00, None, None, 0.0
0.0, 0.0, 0.0, 2010-07-03 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-07-07 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-07-12 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-07-24 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-07-31 00:00:00, None, None, None
3.6, 3.6, 0.0, 2010-08-07 00:00:00, None, None, None
0.6, 0.6, 0.0, 2010-08-18 00:00:00, None, None, None
0.2, 0.2, 0.0, 2010-08-26 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-08-28 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-08-29 00:00:00, None, None, 0.0
11.0, 11.0, 0.0, 2010-08-30 00:00:00, None, None, 0.0
19.4, 19.4, 0.0, 2010-08-31 00:00:00, None, None, 0.0
0.0, 0.0, 0.0, 2010-09-04 00:00:00, None, None, None
4.2, 4.2, 0.0, 2010-09-05 00:00:00, None, None, 0.0
1.8, 1.8, 0.0, 2010-09-09 00:00:00, None, None, None
13.0, 13.0, 0.0, 2010-09-12 00:00:00, None, None, 0.0
0.2, 0.2, 0.0, 2010-09-13 00:00:00, None, None, 0.0
0.2, 0.2, 0.0, 2010-09-14 00:00:00, None, None, 0.0
1.0, 1.0, 0.0, 2010-09-16 00:00:00, None, None, None
5.5, 5.5, 0.0, 2010-09-17 00:00:00, None, None, 0.0
12.0, 12.0, 0.0, 2010-09-18 00:00:00, None, None, 0.0
0.4, 0.4, 0.0, 2010-09-20 00:00:00, None, None, None
2.4, 2.4, 0.0, 2010-09-22 00:00:00, None, None, None
14.0, 14.0, 0.0, 2010-09-23 00:00:00, None, None, 0.0
27.0, 27.0, 0.0, 2010-09-25 00:00:00, None, None, None
4.6, 4.6, 0.0, 2010-10-04 00:00:00, None, None, None
0.7, 0.7, 0.0, 2010-10-07 00:00:00, None, None, None
18.2, 18.2, 0.0, 2010-10-08 00:00:00, None, None, 0.0
16.6, 16.6, 0.0, 2010-10-09 00:00:00, None, None, 0.0
4.8, 4.8, 0.0, 2010-10-11 00:00:00, None, None, None
0.8, 0.8, 0.0, 2010-10-16 00:00:00, None, None, None
11.7, 11.7, 0.0, 2010-10-21 00:00:00, None, None, None
14.1, 14.1, 0.0, 2010-10-23 00:00:00, None, None, None
33.7, 33.7, 0.0, 2010-10-24 00:00:00, None, None, 0.0
2.6, 2.6, 0.0, 2010-10-28 00:00:00, None, None, None
8.8, 8.8, 0.0, 2010-10-30 00:00:00, None, None, None
20.8, 20.8, 0.0, 2010-10-31 00:00:00, None, None, 0.0
4.4, 4.4, 0.0, 2010-11-04 00:00:00, None, None, None
32.9, 32.9, 0.0, 2010-11-13 00:00:00, None, None, None
20.0, 20.0, 0.0, 2010-11-17 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-11-20 00:00:00, None, None, None
0.0, 0.0, 0.0, 2010-11-23 00:00:00, None, None, None
6.3, 0.0, 6.3, 2010-11-24 00:00:00, None, None, 0.0
24.2, 24.2, 0.0, 2010-11-25 00:00:00, None, None, 6.0
14.2, 14.2, 0.0, 2010-11-27 00:00:00, None, None, None
3.0, 3.0, 0.0, 2010-11-28 00:00:00, None, None, 0.0
40.0, 40.0, 0.0, 2010-11-29 00:00:00, None, None, 0.0
6.8, 6.8, 0.0, 2010-11-30 00:00:00, None, None, 0.0
0.4, 0.4, 0.0, 2010-12-04 00:00:00, None, None, None
8.2, 8.2, 0.0, 2010-12-06 00:00:00, None, None, None
31.2, 31.2, 0.0, 2010-12-07 00:00:00, None, None, 0.0
22.3, 22.3, 0.0, 2010-12-08 00:00:00, None, None, 0.0
15.8, 15.8, 0.0, 2010-12-18 00:00:00, None, None, None
15.3, 15.3, 0.0, 2010-12-21 00:00:00, None, None, None
11.6, 11.6, 0.0, 2010-12-22 00:00:00, None, None, 0.0
25.5, 25.5, 0.0, 2010-12-23 00:00:00, None, None, 0.0
23.6, 23.6, 0.0, 2010-12-24 00:00:00, None, None, 0.0
3.1, 3.1, 0.0, 2010-12-27 00:00:00, None, None, None
0.0, 0.0, 0.0, 2011-01-02 00:00:00, None, None, None
0.0, 0.0, 0.0, 2011-01-03 00:00:00, None, None, 0.0
20.6, 20.6, 0.0, 2011-01-04 00:00:00, None, None, 0.0
24.6, 24.6, 0.0, 2011-01-05 00:00:00, None, None, 0.0
12.1, 12.1, 0.0, 2011-01-06 00:00:00, None, None, 0.0
2.9, 2.9, 0.0, 2011-01-07 00:00:00, None, None, 0.0
0.0, 0.0, 0.0, 2011-01-10 00:00:00, None, None, None
33.0, 33.0, 0.0, 2011-01-12 00:00:00, None, None, None
9.7, 9.7, 0.0, 2011-01-13 00:00:00, None, None, 2.0
5.6, 5.6, 0.0, 2011-01-14 00:00:00, None, None, 0.0
17.1, 17.1, 0.0, 2011-01-15 00:00:00, None, None, 0.0
4.1, 4.1, 0.0, 2011-01-16 00:00:00, None, None, 0.0
7.0, 7.0, 0.0, 2011-01-19 00:00:00, None, None, None
28.8, 28.8, 0.0, 2011-01-20 00:00:00, None, None, 0.0
8.0, 8.0, 0.0, 2011-01-22 00:00:00, None, None, None
21.6, 21.6, 0.0, 2011-01-23 00:00:00, None, None, 0.0
23.2, 23.2, 0.0, 2011-01-25 00:00:00, None, None, None
0.4, 0.4, 0.0, 2011-02-01 00:00:00, None, None, None
1.5, 1.5, 0.0, 2011-02-02 00:00:00, None, None, 0.0
27.2, 27.2, 0.0, 2011-02-03 00:00:00, None, None, 0.0
6.1, 6.1, 0.0, 2011-02-05 00:00:00, None, None, None
4.9, 4.9, 0.0, 2011-02-06 00:00:00, None, None, 0.0
