station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND
8.6, 8.6, 0.0, 2010-01-02 00:00:00, None
7.8, 7.8, 0.0, 2010-01-03 00:00:00, None
3.4, 3.4, 0.0, 2010-01-04 00:00:00, None
0.0, 0.0, 0.0, 2010-01-05 00:00:00, None
0.0, 0.0, 0.0, 2010-01-06 00:00:00, None
8.4, 8.4, 0.0, 2010-01-07 00:00:00, None
24.8, 24.8, 0.0, 2010-01-08 00:00:00, None
5.8, 5.8, 0.0, 2010-01-09 00:00:00, None
40.0, 40.0, 0.0, 2010-01-10 00:00:00, None
31.8, 31.8, 0.0, 2010-01-11 00:00:00, None
6.2, 6.2, 0.0, 2010-01-12 00:00:00, None
8.4, 8.4, 0.0, 2010-01-13 00:00:00, None
77.2, 77.2, 0.0, 2010-01-14 00:00:00, None
2.0, 2.0, 0.0, 2010-01-15 00:00:00, None
9.8, 9.8, 0.0, 2010-01-16 00:00:00, None
7.0, 7.0, 0.0, 2010-01-17 00:00:00, None
0.8, 0.8, 0.0, 2010-01-18 00:00:00, None
0.0, 0.0, 0.0, 2010-01-19 00:00:00, None
0.0, 0.0, 0.0, 2010-01-20 00:00:00, None
0.0, 0.0, 0.0, 2010-01-21 00:00:00, None
0.0, 0.0, 0.0, 2010-01-22 00:00:00, None
0.0, 0.0, 0.0, 2010-01-23 00:00:00, None
6.6, 6.6, 0.0, 2010-01-24 00:00:00, None
7.8, 7.8, 0.0, 2010-01-25 00:00:00, None
0.0, 0.0, 0.0, 2010-01-26 00:00:00, None
0.0, 0.0, 0.0, 2010-01-27 00:00:00, None
1.0, 1.0, 0.0, 2010-01-28 00:00:00, None
7.2, 7.2, 0.0, 2010-01-29 00:00:00, None
5.0, 5.0, 0.0, 2010-01-30 00:00:00, None
0.8, 0.8, 0.0, 2010-01-31 00:00:00, None
11.4, 11.4, 0.0, 2010-02-01 00:00:00, None
1.0, 1.0, 0.0, 2010-02-02 00:00:00, None
2.8, 2.8, 0.0, 2010-02-03 00:00:00, None
7.4, 7.4, 0.0, 2010-02-04 00:00:00, None
0.0, 0.0, 0.0, 2010-02-05 00:00:00, None
2.0, 2.0, 0.0, 2010-02-06 00:00:00, None
0.8, 0.8, 0.0, 2010-02-07 00:00:00, None
0.0, 0.0, 0.0, 2010-02-08 00:00:00, None
0.0, 0.0, 0.0, 2010-02-09 00:00:00, None
7.6, 7.6, 0.0, 2010-02-10 00:00:00, None
8.2, 8.2, 0.0, 2010-02-11 00:00:00, None
