station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
13.2, None, None, 2010-01-02 00:00:00, 5.6, 9.1, None
0.0, None, None, 2010-01-03 00:00:00, 4.6, 8.1, None
4.2, None, None, 2010-01-04 00:00:00, 5.6, 7.9, None
0.0, None, None, 2010-01-05 00:00:00, 7.0, 9.7, None
0.0, None, None, 2010-01-06 00:00:00, 4.0, 7.5, None
0.0, None, None, 2010-01-07 00:00:00, 3.0, 6.1, None
None, None, None, 2010-01-08 00:00:00, None, 7.2, None
7.8, None, None, 2010-01-09 00:00:00, 5.7, 9.4, None
2.4, None, None, 2010-01-10 00:00:00, 7.1, 9.3, None
52.6, None, None, 2010-01-11 00:00:00, 7.0, 13.4, None
3.4, None, None, 2010-01-13 00:00:00, 6.8, 9.1, None
20.6, None, None, 2010-01-14 00:00:00, 4.9, 9.1, None
38.8, None, None, 2010-01-15 00:00:00, 4.5, 10.3, None
0.0, None, None, 2010-01-16 00:00:00, 3.4, 6.0, None
6.2, None, None, 2010-01-17 00:00:00, 3.3, 7.7, None
53.4, None, None, 2010-01-18 00:00:00, 5.6, 12.9, None
0.4, None, None, 2010-01-19 00:00:00, 6.3, 9.6, None
0.0, None, None, 2010-01-20 00:00:00, 6.8, 9.3, None
0.0, None, None, 2010-01-21 00:00:00, 7.2, 9.6, None
0.0, None, None, 2010-01-22 00:00:00, 7.0, 10.7, None
0.0, None, None, 2010-01-23 00:00:00, 4.6, 7.8, None
0.2, None, None, 2010-01-24 00:00:00, 4.6, 7.9, None
5.4, None, None, 2010-01-25 00:00:00, 4.1, 6.4, None
0.4, None, None, 2010-01-26 00:00:00, 5.6, 9.6, None
0.0, None, None, 2010-01-27 00:00:00, 4.7, 7.6, None
0.4, None, None, 2010-01-28 00:00:00, 5.2, 7.1, None
0.4, None, None, 2010-01-29 00:00:00, 6.5, 10.1, None
4.4, None, None, 2010-01-30 00:00:00, 6.5, 8.1, None
0.0, None, None, 2010-01-31 00:00:00, 6.4, 7.9, None
4.4, None, None, 2010-02-01 00:00:00, 5.6, 7.8, None
None, None, None, 2010-02-02 00:00:00, 5.8, 7.0, None
0.2, None, None, 2010-02-03 00:00:00, 6.2, 8.5, None
0.6, None, None, 2010-02-04 00:00:00, 6.2, 10.3, None
2.8, None, None, 2010-02-05 00:00:00, 6.4, 9.7, None
0.0, None, None, 2010-02-06 00:00:00, 6.3, 9.8, None
0.0, None, None, 2010-02-07 00:00:00, 6.3, 8.4, None
0.0, None, None, 2010-02-08 00:00:00, 6.1, 8.6, None
0.0, None, None, 2010-02-09 00:00:00, 4.7, 8.7, None
0.8, None, None, 2010-02-10 00:00:00, 4.6, 6.3, None
7.0, None, None, 2010-02-11 00:00:00, 5.5, 7.6, None
4.2, None, None, 2010-02-12 00:00:00, 6.8, 12.2, None
4.4, None, None, 2010-02-13 00:00:00, 6.5, 8.8, None
7.4, None, None, 2010-02-14 00:00:00, 6.2, 11.2, None
0.0, None, None, 2010-02-15 00:00:00, 4.8, 8.5, None
0.2, None, None, 2010-02-16 00:00:00, 5.5, 10.7, None
0.0, None, None, 2010-02-17 00:00:00, 5.0, 12.3, None
0.0, None, None, 2010-02-18 00:00:00, 5.5, 9.8, None
0.0, None, None, 2010-02-19 00:00:00, 4.3, 10.1, None
0.0, None, None, 2010-02-20 00:00:00, 4.6, 10.1, None
0.0, None, None, 2010-02-21 00:00:00, 4.6, 9.7, None
0.0, None, None, 2010-02-22 00:00:00, 4.4, 9.3, None
4.2, None, None, 2010-02-23 00:00:00, 5.5, 8.0, None
13.4, None, None, 2010-02-24 00:00:00, 4.6, 7.0, None
0.6, None, None, 2010-02-25 00:00:00, 6.6, 9.5, None
2.4, None, None, 2010-02-26 00:00:00, 6.2, 8.5, None
16.8, None, None, 2010-02-27 00:00:00, 6.3, 8.0, None
2.8, None, None, 2010-02-28 00:00:00, 7.1, 10.7, None
0.0, None, None, 2010-03-01 00:00:00, 7.6, 12.3, None
3.0, None, None, 2010-03-02 00:00:00, 7.5, 11.5, None
0.0, None, None, 2010-03-03 00:00:00, 7.1, 11.3, None
0.0, None, None, 2010-03-04 00:00:00, 6.1, 10.7, None
0.0, None, None, 2010-03-05 00:00:00, 6.6, 12.8, None
0.0, None, None, 2010-03-06 00:00:00, 5.7, 11.2, None
4.2, None, None, 2010-03-07 00:00:00, 4.3, 8.3, None
0.0, None, None, 2010-03-08 00:00:00, 2.6, 8.1, None
0.0, None, None, 2010-03-09 00:00:00, 1.9, 6.7, None
0.2, None, None, 2010-03-10 00:00:00, 3.2, 7.3, None
7.8, None, None, 2010-03-11 00:00:00, 2.5, 7.6, None
1.4, None, None, 2010-03-12 00:00:00, 3.7, 9.1, None
4.8, None, None, 2010-03-13 00:00:00, 4.0, 8.2, None
6.4, None, None, 2010-03-14 00:00:00, 4.8, 8.7, None
8.8, None, None, 2010-03-15 00:00:00, 4.6, 9.7, None
4.6, None, None, 2010-03-16 00:00:00, 7.9, 11.8, None
0.0, None, None, 2010-03-17 00:00:00, 6.4, 11.5, None
0.0, None, None, 2010-03-18 00:00:00, 3.5, 10.2, None
0.0, None, None, 2010-03-19 00:00:00, 5.5, 12.1, None
0.0, None, None, 2010-03-20 00:00:00, 6.8, 12.5, None
2.8, None, None, 2010-03-21 00:00:00, 8.1, 11.0, None
0.0, None, None, 2010-03-22 00:00:00, 6.2, 11.7, None
0.0, None, None, 2010-03-23 00:00:00, 6.6, 10.7, None
0.0, None, None, 2010-03-24 00:00:00, 7.6, 12.8, None
3.6, None, None, 2010-03-25 00:00:00, 7.4, 12.4, None
4.6, None, None, 2010-03-26 00:00:00, 6.8, 11.0, None
0.0, None, None, 2010-03-27 00:00:00, 7.1, 13.0, None
6.2, None, None, 2010-03-28 00:00:00, 7.0, 15.9, None
10.8, None, None, 2010-03-29 00:00:00, 4.3, 9.6, None
5.4, None, None, 2010-03-30 00:00:00, 4.8, 8.3, None
0.4, None, None, 2010-03-31 00:00:00, 4.6, 11.6, None
3.4, None, None, 2010-04-01 00:00:00, 4.8, 8.5, None
15.8, None, None, 2010-04-02 00:00:00, 4.4, 8.9, None
3.4, None, None, 2010-04-03 00:00:00, 4.8, 7.7, None
0.0, None, None, 2010-04-04 00:00:00, 4.2, 12.1, None
0.0, None, None, 2010-04-05 00:00:00, 5.1, 9.1, None
0.0, None, None, 2010-04-06 00:00:00, 5.2, 10.0, None
None, None, None, 2010-04-07 00:00:00, 5.3, 8.3, None
0.0, None, None, 2010-04-08 00:00:00, 3.9, 9.1, None
0.0, None, None, 2010-04-09 00:00:00, 3.0, 9.1, None
0.0, None, None, 2010-04-10 00:00:00, 3.3, 12.8, None
0.0, None, None, 2010-04-11 00:00:00, 7.1, 14.0, None
0.0, None, None, 2010-04-12 00:00:00, 9.7, 14.7, None
0.0, None, None, 2010-04-13 00:00:00, 8.4, 12.1, None
0.2, None, None, 2010-04-14 00:00:00, 8.7, 13.3, None
0.4, None, None, 2010-04-15 00:00:00, 9.2, 13.2, None
0.0, None, None, 2010-04-16 00:00:00, 8.9, 15.5, None
5.8, None, None, 2010-04-17 00:00:00, 9.9, 13.4, None
0.0, None, None, 2010-04-18 00:00:00, 9.5, 15.6, None
0.0, None, None, 2010-04-19 00:00:00, 10.7, 17.9, None
5.2, None, None, 2010-04-20 00:00:00, 10.3, 14.6, None
0.0, None, None, 2010-04-21 00:00:00, 8.0, 11.3, None
0.0, None, None, 2010-04-22 00:00:00, 6.5, 17.2, None
6.0, None, None, 2010-04-23 00:00:00, 6.0, 11.0, None
2.8, None, None, 2010-04-24 00:00:00, 6.5, 9.8, None
0.0, None, None, 2010-04-25 00:00:00, 6.6, 13.4, None
5.2, None, None, 2010-04-26 00:00:00, 8.8, 17.2, None
5.0, None, None, 2010-04-27 00:00:00, 8.9, 14.0, None
7.6, None, None, 2010-04-28 00:00:00, 8.0, 12.3, None
0.0, None, None, 2010-04-29 00:00:00, 7.1, 14.7, None
1.0, None, None, 2010-04-30 00:00:00, 7.8, 13.2, None
0.6, None, None, 2010-05-01 00:00:00, 7.2, 15.0, None
16.8, None, None, 2010-05-02 00:00:00, 6.2, 10.9, None
1.8, None, None, 2010-05-03 00:00:00, 6.0, 12.4, None
0.0, None, None, 2010-05-04 00:00:00, 4.8, 10.9, None
0.0, None, None, 2010-05-05 00:00:00, 5.6, 12.2, None
0.2, None, None, 2010-05-06 00:00:00, 6.8, 13.8, None
0.2, None, None, 2010-05-07 00:00:00, 7.0, 17.0, None
0.0, None, None, 2010-05-08 00:00:00, 8.8, 15.9, None
0.0, None, None, 2010-05-09 00:00:00, 8.6, 17.0, None
0.0, None, None, 2010-05-10 00:00:00, 11.1, 20.3, None
0.0, None, None, 2010-05-11 00:00:00, 9.7, 16.1, None
0.0, None, None, 2010-05-12 00:00:00, 10.7, 14.7, None
0.0, None, None, 2010-05-13 00:00:00, 9.8, 18.0, None
0.0, None, None, 2010-05-14 00:00:00, 11.4, 19.9, None
0.0, None, None, 2010-05-15 00:00:00, 12.0, 17.4, None
0.0, None, None, 2010-05-16 00:00:00, 13.1, 21.2, None
0.0, None, None, 2010-05-17 00:00:00, 13.2, 18.1, None
5.0, None, None, 2010-05-18 00:00:00, 12.1, 15.9, None
None, None, None, 2010-05-19 00:00:00, 10.3, 17.8, None
1.2, None, None, 2010-05-20 00:00:00, 8.6, 13.1, None
0.4, None, None, 2010-05-21 00:00:00, 6.9, 14.0, None
0.0, None, None, 2010-05-22 00:00:00, 8.4, 13.8, None
3.4, None, None, 2010-05-23 00:00:00, 9.5, 12.0, None
0.0, None, None, 2010-05-24 00:00:00, 9.1, 15.8, None
1.8, None, None, 2010-05-25 00:00:00, 10.9, 13.5, None
4.4, None, None, 2010-05-26 00:00:00, 11.6, 14.0, None
0.4, None, None, 2010-05-27 00:00:00, 10.6, 16.4, None
7.0, None, None, 2010-05-28 00:00:00, 11.6, 14.3, None
4.8, None, None, 2010-05-29 00:00:00, 10.7, 12.2, None
0.8, None, None, 2010-05-30 00:00:00, 9.7, 14.8, None
4.0, None, None, 2010-05-31 00:00:00, 10.9, 16.9, None
3.0, None, None, 2010-06-01 00:00:00, 11.6, 16.5, None
21.2, None, None, 2010-06-02 00:00:00, 10.8, 16.7, None
0.0, None, None, 2010-06-03 00:00:00, 9.9, 17.5, None
0.8, None, None, 2010-06-04 00:00:00, 9.8, 13.4, None
0.0, None, None, 2010-06-05 00:00:00, 10.1, 18.2, None
0.0, None, None, 2010-06-06 00:00:00, 12.0, 15.1, None
0.0, None, None, 2010-06-07 00:00:00, 12.1, 16.4, None
0.0, None, None, 2010-06-08 00:00:00, 11.7, 19.7, None
0.0, None, None, 2010-06-09 00:00:00, 11.7, 16.1, None
0.0, None, None, 2010-06-11 00:00:00, 12.2, 17.8, None
0.0, None, None, 2010-06-12 00:00:00, 12.6, 20.1, None
0.0, None, None, 2010-06-13 00:00:00, 14.3, 18.9, None
None, None, None, 2010-06-14 00:00:00, 11.6, 16.4, None
0.0, None, None, 2010-06-15 00:00:00, 9.7, 17.5, None
0.2, None, None, 2010-06-16 00:00:00, 10.8, 17.0, None
0.0, None, None, 2010-06-17 00:00:00, 12.3, 14.8, None
0.0, None, None, 2010-06-18 00:00:00, 11.8, 22.4, None
0.0, None, None, 2010-06-19 00:00:00, 13.2, 18.6, None
0.0, None, None, 2010-06-20 00:00:00, 14.4, 16.2, None
0.0, None, None, 2010-06-21 00:00:00, 13.4, 16.8, None
0.0, None, None, 2010-06-22 00:00:00, 13.2, 20.9, None
0.0, None, None, 2010-06-23 00:00:00, 14.6, 19.7, None
0.4, None, None, 2010-06-24 00:00:00, 14.7, 21.3, None
0.0, None, None, 2010-06-25 00:00:00, 14.7, 19.4, None
None, None, None, 2010-06-26 00:00:00, 14.0, 19.0, None
0.2, None, None, 2010-06-27 00:00:00, 13.3, 19.2, None
1.8, None, None, 2010-06-28 00:00:00, 12.3, 17.8, None
0.0, None, None, 2010-06-29 00:00:00, 11.7, 19.2, None
0.0, None, None, 2010-06-30 00:00:00, 11.3, 18.7, None
0.2, None, None, 2010-07-01 00:00:00, 12.3, 15.9, None
0.0, None, None, 2010-07-02 00:00:00, 11.3, 17.8, None
None, None, None, 2010-07-03 00:00:00, 13.3, 17.0, None
0.0, None, None, 2010-07-04 00:00:00, 13.7, 17.5, None
0.0, None, None, 2010-07-05 00:00:00, 12.4, 22.8, None
0.0, None, None, 2010-07-06 00:00:00, 13.6, 24.5, None
0.0, None, None, 2010-07-07 00:00:00, 17.3, 30.4, None
0.0, None, None, 2010-07-08 00:00:00, 19.3, 29.1, None
0.0, None, None, 2010-07-09 00:00:00, 19.3, 26.7, None
0.0, None, None, 2010-07-10 00:00:00, 16.5, 21.7, None
0.0, None, None, 2010-07-11 00:00:00, 16.5, 21.1, None
0.0, None, None, 2010-07-12 00:00:00, 15.1, 20.6, None
0.0, None, None, 2010-07-13 00:00:00, 12.4, 19.6, None
0.0, None, None, 2010-07-14 00:00:00, 13.0, 20.7, None
0.0, None, None, 2010-07-15 00:00:00, 14.3, 21.0, None
0.0, None, None, 2010-07-16 00:00:00, 15.0, 20.5, None
0.0, None, None, 2010-07-17 00:00:00, 14.0, 19.9, None
0.0, None, None, 2010-07-18 00:00:00, 14.1, 20.5, None
0.0, None, None, 2010-07-19 00:00:00, 14.3, 19.7, None
0.0, None, None, 2010-07-20 00:00:00, 15.2, 21.4, None
0.0, None, None, 2010-07-21 00:00:00, 15.8, 21.6, None
0.0, None, None, 2010-07-22 00:00:00, 16.9, 20.8, None
0.0, None, None, 2010-07-23 00:00:00, 15.1, 25.4, None
0.0, None, None, 2010-07-24 00:00:00, 15.0, 25.0, None
0.0, None, None, 2010-07-25 00:00:00, 15.1, 25.2, None
0.0, None, None, 2010-07-26 00:00:00, 15.3, 25.6, None
0.0, None, None, 2010-07-27 00:00:00, 16.6, 25.6, None
0.0, None, None, 2010-07-28 00:00:00, 16.5, 21.5, None
0.0, None, None, 2010-07-29 00:00:00, 16.1, 21.4, None
0.0, None, None, 2010-07-30 00:00:00, 15.9, 23.0, None
0.0, None, None, 2010-07-31 00:00:00, 16.3, 20.6, None
0.0, None, None, 2010-08-01 00:00:00, 16.3, 19.5, None
0.0, None, None, 2010-08-02 00:00:00, 16.3, 23.1, None
0.0, None, None, 2010-08-03 00:00:00, 16.2, 21.7, None
0.0, None, None, 2010-08-04 00:00:00, 16.4, 22.1, None
1.6, None, None, 2010-08-05 00:00:00, 17.8, 23.4, None
0.0, None, None, 2010-08-06 00:00:00, 17.7, 21.7, None
0.6, None, None, 2010-08-07 00:00:00, 15.8, 18.5, None
0.0, None, None, 2010-08-08 00:00:00, 15.1, 20.4, None
1.2, None, None, 2010-08-09 00:00:00, 16.1, 18.2, None
0.0, None, None, 2010-08-10 00:00:00, 15.0, 21.8, None
0.0, None, None, 2010-08-11 00:00:00, 15.2, 22.0, None
0.0, None, None, 2010-08-12 00:00:00, 15.9, 23.7, None
0.0, None, None, 2010-08-13 00:00:00, 16.7, 25.6, None
0.0, None, None, 2010-08-14 00:00:00, 19.9, 30.5, None
0.0, None, None, 2010-08-15 00:00:00, 20.5, 31.2, None
0.0, None, None, 2010-08-16 00:00:00, 19.2, 26.6, None
0.0, None, None, 2010-08-17 00:00:00, 17.4, 24.3, None
0.0, None, None, 2010-08-18 00:00:00, 16.3, 20.2, None
0.0, None, None, 2010-08-19 00:00:00, 14.5, 19.6, None
0.0, None, None, 2010-08-20 00:00:00, 14.3, 19.8, None
0.0, None, None, 2010-08-21 00:00:00, 13.7, 19.6, None
0.0, None, None, 2010-08-22 00:00:00, 15.3, 18.6, None
0.0, None, None, 2010-08-23 00:00:00, 14.2, 19.3, None
0.0, None, None, 2010-08-24 00:00:00, 15.3, 25.8, None
0.0, None, None, 2010-08-25 00:00:00, 16.4, 22.5, None
0.2, None, None, 2010-08-26 00:00:00, 15.3, 20.0, None
1.6, None, None, 2010-08-27 00:00:00, 13.4, 18.9, None
0.0, None, None, 2010-08-28 00:00:00, 12.5, 21.0, None
0.0, None, None, 2010-08-29 00:00:00, 12.8, 17.3, None
0.0, None, None, 2010-08-30 00:00:00, 12.2, 18.6, None
18.8, None, None, 2010-08-31 00:00:00, 12.3, 16.0, None
0.0, None, None, 2010-09-01 00:00:00, 13.4, 20.8, None
0.0, None, None, 2010-09-02 00:00:00, 12.6, 20.8, None
0.0, None, None, 2010-09-03 00:00:00, 15.5, 20.5, None
0.0, None, None, 2010-09-04 00:00:00, 14.1, 18.3, None
