station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
9.3, None, None, 2010-01-02 00:00:00, 1.2, 7.6, None
0.0, None, None, 2010-01-03 00:00:00, 0.1, 5.2, None
0.4, None, None, 2010-01-04 00:00:00, 3.5, 6.0, None
0.0, None, None, 2010-01-05 00:00:00, 2.9, 9.8, None
0.0, None, None, 2010-01-06 00:00:00, 0.9, 6.5, None
0.4, None, None, 2010-01-07 00:00:00, -2.5, 4.1, None
20.6, None, None, 2010-01-08 00:00:00, 0.7, 3.8, None
28.5, None, None, 2010-01-09 00:00:00, 2.9, 6.4, None
10.9, None, None, 2010-01-10 00:00:00, 3.7, 6.1, None
79.7, None, None, 2010-01-11 00:00:00, 5.3, 9.5, None
11.2, None, None, 2010-01-13 00:00:00, 5.0, 6.8, None
39.8, None, None, 2010-01-14 00:00:00, 3.4, 8.0, None
56.2, None, None, 2010-01-15 00:00:00, 2.3, 6.6, None
0.0, None, None, 2010-01-16 00:00:00, -0.9, 5.1, None
17.6, None, None, 2010-01-17 00:00:00, 0.1, 3.3, None
35.1, None, None, 2010-01-18 00:00:00, 2.6, 10.1, None
None, None, None, 2010-01-19 00:00:00, 2.7, 6.0, None
2.8, None, None, 2010-01-20 00:00:00, 2.4, 6.4, None
0.0, None, None, 2010-01-21 00:00:00, 3.7, 7.0, None
0.0, None, None, 2010-01-22 00:00:00, 1.8, 10.5, None
0.0, None, None, 2010-01-23 00:00:00, -1.3, 8.5, None
2.3, None, None, 2010-01-24 00:00:00, -0.9, 5.3, None
23.5, None, None, 2010-01-25 00:00:00, 0.6, 2.9, None
1.2, None, None, 2010-01-26 00:00:00, 1.1, 8.4, None
0.0, None, None, 2010-01-27 00:00:00, -0.1, 7.4, None
8.3, None, None, 2010-01-28 00:00:00, 2.5, 4.6, None
0.9, None, None, 2010-01-29 00:00:00, 3.2, 8.5, None
3.9, None, None, 2010-01-30 00:00:00, 4.8, 7.1, None
0.0, None, None, 2010-01-31 00:00:00, 5.5, 7.8, None
1.2, None, None, 2010-02-01 00:00:00, 4.3, 7.6, None
4.1, None, None, 2010-02-02 00:00:00, 3.7, 7.8, None
0.0, None, None, 2010-02-03 00:00:00, 3.0, 8.5, None
0.0, None, None, 2010-02-04 00:00:00, 3.5, 10.4, None
6.3, None, None, 2010-02-05 00:00:00, 3.4, 8.0, None
0.0, None, None, 2010-02-06 00:00:00, 2.0, 10.1, None
0.4, None, None, 2010-02-07 00:00:00, 3.4, 8.0, None
0.0, None, None, 2010-02-08 00:00:00, 1.5, 11.0, None
0.0, None, None, 2010-02-09 00:00:00, -1.3, 9.3, None
0.0, None, None, 2010-02-10 00:00:00, -0.7, 5.6, None
17.9, None, None, 2010-02-11 00:00:00, 2.9, 5.4, None
24.3, None, None, 2010-02-12 00:00:00, 4.0, 9.1, None
16.5, None, None, 2010-02-13 00:00:00, 3.5, 7.4, None
19.3, None, None, 2010-02-14 00:00:00, 3.7, 11.0, None
0.0, None, None, 2010-02-15 00:00:00, 0.0, 7.4, None
