station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
22.6, 22.6, 1.0, 0.0, 2010-01-08 00:00:00, 0.0, 4.6
25.0, 25.0, 3.0, 0.0, 2010-01-09 00:00:00, 0.0, 6.5
48.6, 48.6, 3.0, 0.0, 2010-01-10 00:00:00, 0.0, 9.5
61.6, 61.6, 4.5, 0.0, 2010-01-11 00:00:00, 0.0, 9.4
10.4, 10.4, 2.0, 0.0, 2010-01-12 00:00:00, 0.0, 10.1
17.4, 17.4, 5.2, 0.0, 2010-01-13 00:00:00, 0.0, 7.4
66.8, 66.8, 3.7, 0.0, 2010-01-14 00:00:00, 0.0, 7.4
22.2, 22.2, 2.5, 0.0, 2010-01-15 00:00:00, 0.0, 6.8
8.2, 7.6, -0.6, 0.6, 2010-01-16 00:00:00, 0.0, 5.0
20.8, 20.8, 0.1, 0.0, 2010-01-17 00:00:00, 0.0, 4.1
25.0, 25.0, 2.5, 0.0, 2010-01-18 00:00:00, 0.0, 10.5
0.0, 0.0, -1.0, 0.0, 2010-01-23 00:00:00, 0.0, 7.4
9.4, 9.4, -0.7, 0.0, 2010-01-24 00:00:00, 0.0, 6.4
18.2, 18.2, 0.5, 0.0, 2010-01-25 00:00:00, 0.0, 4.3
0.6, 0.6, 1.5, 0.0, 2010-01-26 00:00:00, 0.0, 7.5
3.0, 3.0, 0.8, 0.0, 2010-01-27 00:00:00, 0.0, 7.0
5.2, 5.2, 2.5, 0.0, 2010-01-28 00:00:00, 0.0, 4.8
5.4, 5.4, 3.2, 0.0, 2010-01-29 00:00:00, 0.0, 8.6
3.2, 3.2, 5.0, 0.0, 2010-01-30 00:00:00, 0.0, 7.3
0.6, 0.6, 5.5, 0.0, 2010-01-31 00:00:00, 0.0, 8.0
5.0, 5.0, 4.2, 0.0, 2010-02-01 00:00:00, 0.0, 7.2
1.4, 1.4, 4.0, 0.0, 2010-02-02 00:00:00, 0.0, 8.0
0.4, 0.4, 2.8, 0.0, 2010-02-03 00:00:00, 0.0, 8.3
2.2, 2.2, 3.8, 0.0, 2010-02-04 00:00:00, 0.0, 10.4
4.4, 4.4, 3.8, 0.0, 2010-02-05 00:00:00, 0.0, 8.0
0.0, 0.0, 2.0, 0.0, 2010-02-06 00:00:00, 0.0, 10.0
1.0, 1.0, 3.3, 0.0, 2010-02-07 00:00:00, 0.0, 8.0
0.0, 0.0, 3.5, 0.0, 2010-02-08 00:00:00, 0.0, 10.8
0.0, 0.0, -1.0, 0.0, 2010-02-09 00:00:00, 0.0, 8.2
1.4, 1.4, -0.3, 0.0, 2010-02-10 00:00:00, 0.0, 5.8
26.2, 26.2, 3.0, 0.0, 2010-02-11 00:00:00, 0.0, 8.0
20.0, 20.0, 3.8, 0.0, 2010-02-12 00:00:00, 0.0, 9.2
27.6, 27.6, 3.8, 0.0, 2010-02-13 00:00:00, 0.0, 7.5
1.6, 1.6, 4.0, 0.0, 2010-02-14 00:00:00, 0.0, 10.5
18.0, 18.0, -0.2, 0.0, 2010-02-15 00:00:00, 0.0, 8.5
4.8, 4.8, 3.6, 0.0, 2010-02-16 00:00:00, 0.0, 8.0
0.0, 0.0, 0.0, 0.0, 2010-02-17 00:00:00, 0.0, 12.5
0.0, 0.0, 3.0, 0.0, 2010-02-18 00:00:00, 0.0, 14.2
0.0, 0.0, -0.4, 0.0, 2010-02-19 00:00:00, 0.0, 13.5
0.0, 0.0, -1.2, 0.0, 2010-02-20 00:00:00, 0.0, 13.1
0.0, 0.0, -1.2, 0.0, 2010-02-21 00:00:00, 0.0, 13.1
0.0, 0.0, -1.6, 0.0, 2010-02-22 00:00:00, 0.0, 12.5
7.0, 7.0, 0.0, 0.0, 2010-02-23 00:00:00, 0.0, 7.9
15.6, 15.6, 3.5, 0.0, 2010-02-24 00:00:00, 0.0, 6.8
4.6, 4.6, 5.3, 0.0, 2010-02-25 00:00:00, 0.0, 10.5
25.6, 25.6, 4.5, 0.0, 2010-02-26 00:00:00, 0.0, 5.5
7.4, 7.4, 4.0, 0.0, 2010-02-27 00:00:00, 0.0, 9.5
1.2, 1.2, 5.5, 0.0, 2010-02-28 00:00:00, 0.0, 12.5
0.0, 0.0, 3.5, 0.0, 2010-03-01 00:00:00, 0.0, 11.4
5.4, 5.4, 5.0, 0.0, 2010-03-02 00:00:00, 0.0, 8.5
0.0, 0.0, 4.7, 0.0, 2010-03-03 00:00:00, 0.0, 14.2
0.0, 0.0, 3.4, 0.0, 2010-03-04 00:00:00, 0.0, 12.7
0.0, 0.0, 1.5, 0.0, 2010-03-05 00:00:00, 0.0, 14.5
0.0, 0.0, -0.9, 0.0, 2010-03-06 00:00:00, 0.0, 15.5
10.8, 10.8, 0.1, 0.0, 2010-03-07 00:00:00, 0.0, 5.9
0.0, 0.0, 0.5, 0.0, 2010-03-08 00:00:00, 0.0, 8.0
1.0, 0.0, -3.0, 1.0, 2010-03-09 00:00:00, 0.0, 5.4
16.4, 16.4, 0.6, 0.0, 2010-03-10 00:00:00, 0.0, 8.1
15.0, 14.6, 1.0, 0.4, 2010-03-11 00:00:00, 0.0, 6.3
7.2, 6.0, 1.3, 1.2, 2010-03-12 00:00:00, 0.0, 5.4
1.2, 1.2, 1.5, 0.0, 2010-03-13 00:00:00, 0.0, 7.5
18.2, 18.2, 1.5, 0.0, 2010-03-14 00:00:00, 0.0, 7.0
18.4, 18.4, 3.0, 0.0, 2010-03-15 00:00:00, 0.0, 10.0
18.0, 18.0, 5.5, 0.0, 2010-03-16 00:00:00, 0.0, 9.5
1.6, 1.6, 5.2, 0.0, 2010-03-17 00:00:00, 0.0, 11.0
0.0, 0.0, -1.7, 0.0, 2010-03-18 00:00:00, 0.0, 13.6
