station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.0, 0.0, 0.0, 2010-01-04 00:00:00, -12.5, -4.0, 44.0
0.0, 0.0, 0.0, 2010-01-05 00:00:00, -11.5, -3.5, 44.0
1.0, 0.0, 1.0, 2010-01-06 00:00:00, -9.0, -3.0, 42.0
6.0, 0.0, 6.0, 2010-01-07 00:00:00, -5.0, -1.5, 42.0
12.8, 10.8, 2.0, 2010-01-08 00:00:00, -3.5, 0.5, 48.0
28.8, 28.8, 0.0, 2010-01-11 00:00:00, -0.5, 4.0, 44.0
15.2, 15.2, 0.0, 2010-01-12 00:00:00, 0.5, 4.0, 42.0
14.6, 14.6, 0.0, 2010-01-13 00:00:00, 0.5, 4.0, 40.0
33.4, 33.4, 0.0, 2010-01-14 00:00:00, 0.0, 3.5, 36.0
2.0, 2.0, 0.0, 2010-01-15 00:00:00, -0.5, 4.5, 36.0
2.2, 2.2, 0.0, 2010-01-18 00:00:00, -1.0, 3.5, 34.0
0.0, 0.0, 0.0, 2010-01-19 00:00:00, -0.5, 4.5, 34.0
0.0, 0.0, 0.0, 2010-01-20 00:00:00, 0.5, 6.5, 34.0
0.0, 0.0, 0.0, 2010-01-21 00:00:00, -2.5, 4.0, 34.0
0.0, 0.0, 0.0, 2010-01-22 00:00:00, -2.5, 5.5, 34.0
0.0, 0.0, 0.0, 2010-01-23 00:00:00, -4.0, 4.5, 34.0
1.2, 0.0, 1.2, 2010-01-25 00:00:00, -1.0, 3.0, 34.0
0.0, 0.0, 0.0, 2010-01-26 00:00:00, -3.0, 2.5, 35.0
17.4, 0.0, 17.4, 2010-01-27 00:00:00, -6.0, 0.5, 35.0
12.7, 9.9, 2.8, 2010-01-28 00:00:00, -2.0, 2.0, 52.0
5.2, 5.2, 0.0, 2010-01-29 00:00:00, -0.5, 3.5, 50.0
1.5, 1.5, 0.0, 2010-01-30 00:00:00, 1.0, 5.0, 0.0
0.0, 0.0, 0.0, 2010-02-01 00:00:00, 0.5, 4.0, 38.0
0.0, 0.0, 0.0, 2010-02-02 00:00:00, -2.0, 5.5, 35.0
0.0, 0.0, 0.0, 2010-02-03 00:00:00, -6.0, 4.0, 35.0
0.0, 0.0, 0.0, 2010-02-04 00:00:00, -1.0, 5.0, 35.0
0.4, 0.4, 0.0, 2010-02-05 00:00:00, -0.5, 8.0, 35.0
1.1, 1.1, 0.0, 2010-02-08 00:00:00, 0.0, 6.5, 32.0
0.6, 0.6, 0.0, 2010-02-09 00:00:00, 0.5, 4.5, 30.0
4.2, 4.2, 0.0, 2010-02-10 00:00:00, 0.0, 3.0, 30.0
21.8, 21.8, 0.0, 2010-02-11 00:00:00, 0.0, 3.0, 30.0
0.0, 0.0, 0.0, 2010-02-12 00:00:00, -0.5, 6.0, 29.0
16.0, 16.0, 0.0, 2010-02-13 00:00:00, 0.0, 4.5, 28.0
6.5, 6.5, 0.0, 2010-02-15 00:00:00, 0.0, 6.0, 0.0
1.4, 1.4, 0.0, 2010-02-16 00:00:00, 0.0, 7.5, 21.0
0.0, 0.0, 0.0, 2010-02-17 00:00:00, 0.5, 8.0, 20.0
0.0, 0.0, 0.0, 2010-02-18 00:00:00, -2.0, 9.5, 19.0
0.0, 0.0, 0.0, 2010-02-19 00:00:00, -2.5, 10.5, 18.0
0.0, 0.0, 0.0, 2010-02-20 00:00:00, -3.0, 10.5, 18.0
0.8, 0.8, 0.0, 2010-02-22 00:00:00, -4.0, 9.5, 14.0
2.5, 1.0, 1.5, 2010-02-23 00:00:00, -2.0, 6.0, 12.0
21.6, 21.6, 0.0, 2010-02-24 00:00:00, -0.5, 3.5, 13.0
10.2, 10.2, 0.0, 2010-02-25 00:00:00, 0.5, 4.0, 12.0
3.2, 3.2, 0.0, 2010-02-26 00:00:00, 0.5, 4.5, 10.0
10.6, 10.6, 0.0, 2010-03-01 00:00:00, 0.5, 6.0, 5.0
7.2, 7.2, 0.0, 2010-03-02 00:00:00, 2.0, 7.5, 3.0
1.8, 1.8, 0.0, 2010-03-03 00:00:00, 2.0, 9.0, 0.0
13.0, 13.0, 0.0, 2010-03-04 00:00:00, 2.0, 5.5, 0.0
0.2, 0.2, 0.0, 2010-03-05 00:00:00, 2.0, 9.0, 0.0
6.9, 6.9, 0.0, 2010-03-06 00:00:00, 2.5, 8.5, 0.0
0.6, 0.6, 0.0, 2010-03-08 00:00:00, -2.5, 5.5, 1.0
0.6, 0.6, 0.0, 2010-03-09 00:00:00, -1.0, 5.0, 0.0
10.2, 7.2, 3.0, 2010-03-10 00:00:00, -1.0, 4.0, 0.0
8.2, 8.2, 0.0, 2010-03-11 00:00:00, -0.5, 3.0, 3.0
0.0, 0.0, 0.0, 2010-03-12 00:00:00, -1.5, 7.0, 0.0
32.1, 31.1, 1.0, 2010-03-13 00:00:00, -3.5, 4.0, 0.0
4.8, 4.8, 0.0, 2010-03-15 00:00:00, -0.5, 9.0, 0.0
24.6, 24.6, 0.0, 2010-03-16 00:00:00, 1.5, 5.5, 0.0
0.0, 0.0, 0.0, 2010-03-17 00:00:00, 2.0, 8.0, 0.0
0.0, 0.0, 0.0, 2010-03-18 00:00:00, -1.0, 7.0, 0.0
0.0, 0.0, 0.0, 2010-03-19 00:00:00, -1.0, 10.5, 0.0
2.8, 2.8, 0.0, 2010-03-20 00:00:00, -2.5, 12.0, 0.0
3.4, 3.4, 0.0, 2010-03-22 00:00:00, 1.0, 9.5, 0.0
6.8, 6.8, 0.0, 2010-03-23 00:00:00, 3.0, 7.5, 0.0
7.4, 7.4, 0.0, 2010-03-25 00:00:00, 3.5, 9.0, 0.0
19.8, 19.8, 0.0, 2010-03-26 00:00:00, 5.0, 10.0, 0.0
4.0, 4.0, 0.0, 2010-03-29 00:00:00, 3.0, 8.5, 0.0
0.5, 0.5, 0.0, 2010-03-30 00:00:00, 2.5, 10.0, 0.0
0.0, 0.0, 0.0, 2010-03-31 00:00:00, 2.0, 9.5, 0.0
4.2, 4.2, 0.0, 2010-04-01 00:00:00, 0.5, 7.5, 0.0
3.2, 3.2, 0.0, 2010-04-02 00:00:00, 1.5, 10.5, 0.0
16.0, 14.6, 1.4, 2010-04-06 00:00:00, 3.0, 8.0, 0.0
1.4, 1.4, 0.0, 2010-04-07 00:00:00, -0.5, 7.0, 1.0
2.0, 2.0, 0.0, 2010-04-08 00:00:00, -1.5, 7.0, 0.0
0.0, 0.0, 0.0, 2010-04-09 00:00:00, -1.5, 8.0, 0.0
0.0, 0.0, 0.0, 2010-04-10 00:00:00, -1.5, 12.0, 0.0
