station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
13.0, 0.0, -8.0, 13.0, 2010-01-06 00:00:00, 0.0, -3.0
7.0, 0.0, -4.0, 7.0, 2010-01-08 00:00:00, 0.0, 1.0
21.0, 0.0, -3.0, 21.0, 2010-01-09 00:00:00, 0.0, 0.0
15.5, 12.5, -1.0, 3.0, 2010-01-10 00:00:00, 0.0, 2.0
54.8, 50.8, 0.0, 4.0, 2010-01-11 00:00:00, 0.0, 2.0
5.8, 4.8, 0.0, 1.0, 2010-01-12 00:00:00, 0.0, 1.0
4.4, 2.4, 0.0, 2.0, 2010-01-13 00:00:00, 0.0, 1.0
13.0, 0.0, -1.0, 13.0, 2010-01-14 00:00:00, 0.0, 1.0
9.0, 0.0, -1.0, 9.0, 2010-01-15 00:00:00, 0.0, 1.0
7.0, 0.0, -2.0, 7.0, 2010-01-16 00:00:00, 0.0, 0.0
14.0, 0.0, -2.0, 14.0, 2010-01-17 00:00:00, 0.0, 1.0
8.0, 0.0, -2.0, 8.0, 2010-01-18 00:00:00, 0.0, 1.0
0.0, 0.0, -2.0, 0.0, 2010-01-19 00:00:00, 0.0, 5.0
0.0, 0.0, 1.0, 0.0, 2010-01-20 00:00:00, 0.0, 7.0
0.0, 0.0, 1.0, 0.0, 2010-01-21 00:00:00, 0.0, 8.0
0.0, 0.0, -2.0, 0.0, 2010-01-22 00:00:00, 0.0, 6.0
1.0, 0.0, -13.0, 1.0, 2010-01-23 00:00:00, 0.0, -8.0
2.0, 0.0, -10.0, 2.0, 2010-01-24 00:00:00, 0.0, -4.0
0.0, 0.0, -9.0, 0.0, 2010-01-25 00:00:00, 0.0, -3.0
0.0, 0.0, -6.0, 0.0, 2010-01-26 00:00:00, 0.0, -1.0
0.0, 0.0, -6.0, 0.0, 2010-01-27 00:00:00, 0.0, -3.0
0.0, 0.0, -2.0, 0.0, 2010-01-28 00:00:00, 0.0, 1.0
0.0, 0.0, -1.0, 0.0, 2010-01-29 00:00:00, 0.0, 3.0
0.0, 0.0, 0.0, 0.0, 2010-01-30 00:00:00, 0.0, 6.0
1.0, 0.0, 0.0, 1.0, 2010-01-31 00:00:00, 0.0, 2.0
0.0, 0.0, -2.0, 0.0, 2010-02-01 00:00:00, 0.0, 0.0
0.0, 0.0, -4.0, 0.0, 2010-02-02 00:00:00, 0.0, 3.0
0.0, 0.0, -7.0, 0.0, 2010-02-03 00:00:00, 0.0, -3.0
0.0, 0.0, -8.0, 0.0, 2010-02-04 00:00:00, 0.0, 0.0
0.0, 0.0, -4.0, 0.0, 2010-02-05 00:00:00, 0.0, 3.0
4.0, 0.0, 0.0, 4.0, 2010-02-06 00:00:00, 0.0, 4.0
6.0, 0.0, 0.0, 6.0, 2010-02-07 00:00:00, 0.0, 4.0
6.0, 0.0, -1.0, 6.0, 2010-02-08 00:00:00, 0.0, 2.0
3.0, 0.0, -3.0, 3.0, 2010-02-09 00:00:00, 0.0, 0.0
1.0, 0.0, -4.0, 1.0, 2010-02-10 00:00:00, 0.0, -1.0
0.0, 0.0, -3.0, 0.0, 2010-02-11 00:00:00, 0.0, 1.0
0.0, 0.0, -1.0, 0.0, 2010-02-12 00:00:00, 0.0, 4.0
7.0, 0.0, -3.0, 7.0, 2010-02-13 00:00:00, 0.0, 4.0
0.0, 0.0, -2.0, 0.0, 2010-02-14 00:00:00, 0.0, 5.0
0.0, 0.0, -2.0, 0.0, 2010-02-15 00:00:00, 0.0, 9.0
6.0, 0.0, 0.0, 6.0, 2010-02-16 00:00:00, 0.0, 3.0
2.0, 0.0, -3.0, 2.0, 2010-02-17 00:00:00, 0.0, 3.0
0.0, 0.0, -3.0, 0.0, 2010-02-18 00:00:00, 0.0, 17.0
0.0, 0.0, -2.0, 0.0, 2010-02-19 00:00:00, 0.0, 19.0
0.0, 0.0, 0.0, 0.0, 2010-02-20 00:00:00, 0.0, 15.0
0.0, 0.0, -1.0, 0.0, 2010-02-21 00:00:00, 0.0, 18.0
1.0, 0.0, -2.0, 1.0, 2010-02-22 00:00:00, 0.0, 18.0
0.0, 0.0, -3.0, 0.0, 2010-02-23 00:00:00, 0.0, 3.0
11.0, 0.0, 0.0, 11.0, 2010-02-24 00:00:00, 0.0, 4.0
11.0, 0.0, -1.0, 11.0, 2010-02-25 00:00:00, 0.0, 3.0
0.0, 0.0, -3.0, 0.0, 2010-02-26 00:00:00, 0.0, 1.0
0.0, 0.0, -1.0, 0.0, 2010-02-27 00:00:00, 0.0, 4.0
6.2, 0.2, 1.0, 6.0, 2010-03-01 00:00:00, 0.0, 4.0
6.0, 0.0, 2.0, 6.0, 2010-03-02 00:00:00, 0.0, 4.0
21.0, 0.0, 0.0, 21.0, 2010-03-03 00:00:00, 0.0, 4.0
12.0, 0.0, -2.0, 12.0, 2010-03-04 00:00:00, 0.0, -1.0
9.0, 0.0, -2.0, 9.0, 2010-03-05 00:00:00, 0.0, 1.0
25.0, 0.0, -3.0, 25.0, 2010-03-06 00:00:00, 0.0, 0.0
5.0, 0.0, -4.0, 5.0, 2010-03-07 00:00:00, 0.0, -1.0
10.5, 0.5, -6.0, 10.0, 2010-03-08 00:00:00, 0.0, -2.0
4.0, 0.0, -4.0, 4.0, 2010-03-09 00:00:00, 0.0, -1.0
3.0, 0.0, -8.0, 3.0, 2010-03-10 00:00:00, 0.0, -1.0
