station_observations
ONE_DAY_PRECIPITATION, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, -18.7, None, 2010-01-01 00:00:00, None, -10.5
0.0, -15.0, None, 2010-01-02 00:00:00, None, -5.6
0.0, -10.9, None, 2010-01-03 00:00:00, None, -0.8
0.0, -6.5, None, 2010-01-04 00:00:00, None, -1.9
0.0, -15.6, None, 2010-01-05 00:00:00, None, -2.7
None, -18.2, None, 2010-01-06 00:00:00, None, -11.5
0.0, -19.7, None, 2010-01-07 00:00:00, None, -9.3
3.2, -9.5, None, 2010-01-08 00:00:00, None, -4.9
0.7, -6.9, None, 2010-01-09 00:00:00, None, -2.2
1.4, -4.8, None, 2010-01-10 00:00:00, None, 9.4
26.5, 0.3, None, 2010-01-11 00:00:00, None, 4.8
None, 1.3, None, 2010-01-12 00:00:00, None, 5.3
0.0, -4.7, None, 2010-01-13 00:00:00, None, 2.4
0.8, -2.3, None, 2010-01-14 00:00:00, None, 5.3
25.9, -2.9, None, 2010-01-15 00:00:00, None, 1.5
0.0, -11.4, None, 2010-01-16 00:00:00, None, -0.4
0.0, -12.6, None, 2010-01-17 00:00:00, None, 4.6
1.7, -7.4, None, 2010-01-18 00:00:00, None, 2.0
0.0, -10.4, None, 2010-01-19 00:00:00, None, -0.1
0.0, -13.0, None, 2010-01-20 00:00:00, None, -2.4
0.0, -8.9, None, 2010-01-21 00:00:00, None, 0.8
0.0, -11.6, None, 2010-01-22 00:00:00, None, -1.9
0.0, -3.9, None, 2010-01-23 00:00:00, None, -2.4
0.0, -8.2, None, 2010-01-24 00:00:00, None, -3.7
0.8, -11.5, None, 2010-01-25 00:00:00, None, -3.7
0.0, -10.0, None, 2010-01-26 00:00:00, None, -1.0
0.0, -5.7, None, 2010-01-27 00:00:00, None, -1.9
0.0, -6.3, None, 2010-01-28 00:00:00, None, 1.6
0.0, -5.3, None, 2010-01-29 00:00:00, None, 5.2
1.0, -0.7, None, 2010-01-30 00:00:00, None, 3.1
0.0, -4.1, None, 2010-01-31 00:00:00, None, 5.2
0.0, -3.0, None, 2010-02-01 00:00:00, None, 1.3
0.0, -4.4, None, 2010-02-02 00:00:00, None, 3.1
0.0, -4.6, None, 2010-02-03 00:00:00, None, 1.2
0.0, -8.4, None, 2010-02-04 00:00:00, None, -0.4
0.0, -9.2, None, 2010-02-05 00:00:00, None, 4.3
