station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.0, 0.0, 0.0, 2010-01-02 00:00:00, -17.5, 9.0, 0.0
0.0, 0.0, 0.0, 2010-01-03 00:00:00, -16.0, -12.5, 0.0
0.0, 0.0, 0.0, 2010-01-04 00:00:00, -26.5, -18.5, 0.0
0.0, 0.0, 0.0, 2010-01-05 00:00:00, -30.5, -21.0, 0.0
0.0, 0.0, 0.0, 2010-01-06 00:00:00, -31.0, -13.0, 0.0
0.0, 0.0, 0.0, 2010-01-07 00:00:00, -23.5, -8.5, 0.0
0.0, 0.0, 0.0, 2010-01-08 00:00:00, -17.5, -7.5, 0.0
0.0, 0.0, 0.0, 2010-01-09 00:00:00, -12.0, 0.5, 0.0
0.0, 0.0, 0.0, 2010-01-10 00:00:00, -3.0, 4.0, 0.0
3.7, 3.7, 0.0, 2010-01-11 00:00:00, 2.5, 5.5, 0.0
0.0, 0.0, 0.0, 2010-01-12 00:00:00, 2.0, 2.0, 0.0
0.0, 0.0, 0.0, 2010-01-13 00:00:00, -5.0, 0.0, 0.0
1.3, 0.0, 1.3, 2010-01-14 00:00:00, -2.5, 3.5, 0.0
0.0, 0.0, 0.0, 2010-01-15 00:00:00, -5.0, 4.5, 0.0
0.0, 0.0, 0.0, 2010-01-16 00:00:00, -10.0, -2.0, 0.0
1.6, 0.0, 1.6, 2010-01-17 00:00:00, -7.0, 5.5, 0.0
2.0, 0.0, 2.0, 2010-01-18 00:00:00, -8.0, 4.5, 0.0
0.0, 0.0, 0.0, 2010-01-19 00:00:00, -9.0, 3.5, 0.0
0.0, 0.0, 0.0, 2010-01-20 00:00:00, -2.0, 3.5, 0.0
0.0, 0.0, 0.0, 2010-01-21 00:00:00, -11.0, 1.0, 0.0
0.0, 0.0, 0.0, 2010-01-22 00:00:00, -13.0, -1.0, 0.0
0.0, 0.0, 0.0, 2010-01-23 00:00:00, -18.5, -5.0, 0.0
4.0, 0.0, 4.0, 2010-01-24 00:00:00, -21.0, -4.5, 0.0
3.4, 0.0, 3.4, 2010-01-25 00:00:00, -9.0, -7.0, 0.0
0.2, 0.0, 0.2, 2010-01-26 00:00:00, -8.5, -4.5, 0.0
0.0, 0.0, 0.0, 2010-01-27 00:00:00, -6.5, -3.5, 0.0
5.4, 0.0, 5.4, 2010-01-28 00:00:00, -6.0, 0.0, 0.0
1.0, 0.0, 1.0, 2010-01-29 00:00:00, -1.0, 3.5, 0.0
7.0, 0.0, 7.0, 2010-01-30 00:00:00, -2.5, -0.5, 0.0
0.0, 0.0, 0.0, 2010-01-31 00:00:00, -6.0, -3.0, 52.0
0.0, 0.0, 0.0, 2010-02-01 00:00:00, -4.0, -1.0, 52.0
0.0, 0.0, 0.0, 2010-02-02 00:00:00, -4.5, -1.0, 0.0
0.0, 0.0, 0.0, 2010-02-03 00:00:00, -3.5, -1.0, 0.0
0.0, 0.0, 0.0, 2010-02-04 00:00:00, -3.0, 1.0, 0.0
0.0, 0.0, 0.0, 2010-02-05 00:00:00, -1.0, 3.5, 0.0
0.0, 0.0, 0.0, 2010-02-06 00:00:00, -5.5, 3.0, 0.0
0.0, 0.0, 0.0, 2010-02-07 00:00:00, -9.0, 1.5, 0.0
0.0, 0.0, 0.0, 2010-02-08 00:00:00, -10.0, -4.0, 0.0
1.6, 0.0, 1.6, 2010-02-09 00:00:00, -5.5, 3.0, 0.0
0.0, 0.0, 0.0, 2010-02-10 00:00:00, -6.5, -1.5, 0.0
2.8, 0.0, 2.8, 2010-02-11 00:00:00, -3.0, 2.0, 0.0
0.0, 0.0, 0.0, 2010-02-12 00:00:00, -0.5, 5.0, 0.0
2.2, 2.2, 0.0, 2010-02-13 00:00:00, -11.5, 5.0, 0.0
0.0, 0.0, 0.0, 2010-02-14 00:00:00, 1.0, 6.0, 0.0
5.6, 0.0, 5.6, 2010-02-15 00:00:00, -10.5, 1.5, 0.0
0.0, 0.0, 0.0, 2010-02-16 00:00:00, -2.5, 5.5, 0.0
0.0, 0.0, 0.0, 2010-02-17 00:00:00, -12.5, 2.0, 0.0
0.0, 0.0, 0.0, 2010-02-18 00:00:00, -14.5, -4.0, 0.0
0.0, 0.0, 0.0, 2010-02-19 00:00:00, -8.0, -4.0, 0.0
0.0, 0.0, 0.0, 2010-02-20 00:00:00, -10.0, -4.5, 0.0
0.0, 0.0, 0.0, 2010-02-21 00:00:00, -7.0, -4.0, 0.0
0.0, 0.0, 0.0, 2010-02-22 00:00:00, -6.5, -4.0, 0.0
0.0, 0.0, 0.0, 2010-02-23 00:00:00, -5.5, -3.0, 0.0
2.4, 0.0, 2.4, 2010-02-24 00:00:00, -4.5, -1.0, 0.0
0.0, 0.0, 0.0, 2010-02-25 00:00:00, -8.0, 3.0, 0.0
3.8, 2.3, 1.5, 2010-02-26 00:00:00, -11.0, 1.0, 0.0
0.4, 0.0, 0.4, 2010-02-27 00:00:00, -0.5, 3.5, 0.0
0.0, 0.0, 0.0, 2010-02-28 00:00:00, -0.5, 4.5, 48.0
0.0, 0.0, 0.0, 2010-03-01 00:00:00, 2.0, 7.0, 47.0
0.0, 0.0, 0.0, 2010-03-02 00:00:00, 3.0, 7.5, 0.0
0.0, 0.0, 0.0, 2010-03-03 00:00:00, -3.0, 9.5, 0.0
0.0, 0.0, 0.0, 2010-03-04 00:00:00, -6.0, 6.0, 0.0
0.0, 0.0, 0.0, 2010-03-05 00:00:00, -4.0, 8.5, 0.0
0.0, 0.0, 0.0, 2010-03-06 00:00:00, -4.5, 8.5, 0.0
0.0, 0.0, 0.0, 2010-03-07 00:00:00, 1.0, 4.5, 0.0
0.0, 0.0, 0.0, 2010-03-08 00:00:00, -10.0, 5.5, 0.0
0.0, 0.0, 0.0, 2010-03-09 00:00:00, -7.5, 2.0, 0.0
0.0, 0.0, 0.0, 2010-03-10 00:00:00, -4.5, 4.5, 0.0
0.0, 0.0, 0.0, 2010-03-11 00:00:00, -1.0, 6.0, 0.0
0.0, 0.0, 0.0, 2010-03-12 00:00:00, -9.0, 3.5, 0.0
0.0, 0.0, 0.0, 2010-03-13 00:00:00, -12.0, 4.0, 0.0
0.0, 0.0, 0.0, 2010-03-14 00:00:00, 1.5, 4.5, 0.0
2.0, 0.0, 2.0, 2010-03-15 00:00:00, -1.0, 8.5, 0.0
1.6, 1.6, 0.0, 2010-03-16 00:00:00, 0.0, 10.0, 0.0
0.0, 0.0, 0.0, 2010-03-17 00:00:00, -1.5, 7.5, 0.0
0.0, 0.0, 0.0, 2010-03-18 00:00:00, -3.5, 5.0, 0.0
0.0, 0.0, 0.0, 2010-03-19 00:00:00, -4.0, 6.5, 0.0
0.0, 0.0, 0.0, 2010-03-20 00:00:00, -5.5, 7.5, 0.0
0.0, 0.0, 0.0, 2010-03-21 00:00:00, -1.0, 8.5, 0.0
0.5, 0.5, 0.0, 2010-03-22 00:00:00, -3.0, 9.5, 0.0
0.0, 0.0, 0.0, 2010-03-23 00:00:00, 0.0, 6.0, 0.0
0.0, 0.0, 0.0, 2010-03-24 00:00:00, -1.5, 9.5, 0.0
0.0, 0.0, 0.0, 2010-03-25 00:00:00, 0.0, 11.5, 0.0
0.0, 0.0, 0.0, 2010-03-26 00:00:00, 0.0, 10.0, 0.0
0.0, 0.0, 0.0, 2010-03-27 00:00:00, 0.0, 12.5, 0.0
0.0, 0.0, 0.0, 2010-03-28 00:00:00, 5.0, 11.0, 0.0
0.0, 0.0, 0.0, 2010-03-29 00:00:00, 3.0, 10.5, 0.0
0.0, 0.0, 0.0, 2010-03-30 00:00:00, -4.0, 7.0, 0.0
0.0, 0.0, 0.0, 2010-03-31 00:00:00, -3.5, 9.0, 11.0
0.0, 0.0, 0.0, 2010-04-01 00:00:00, -4.0, 7.0, 10.0
1.0, 0.0, 1.0, 2010-04-02 00:00:00, 0.0, 4.5, 0.0
0.0, 0.0, 0.0, 2010-04-03 00:00:00, 0.0, 8.5, 0.0
0.0, 0.0, 0.0, 2010-04-04 00:00:00, -7.0, 7.5, 0.0
0.0, 0.0, 0.0, 2010-04-05 00:00:00, -3.5, 10.0, 0.0
3.5, 0.0, 3.5, 2010-04-06 00:00:00, 0.5, 10.0, 0.0
0.0, 0.0, 0.0, 2010-04-07 00:00:00, 0.0, 8.5, 0.0
0.0, 0.0, 0.0, 2010-04-08 00:00:00, -3.0, 6.0, 0.0
0.0, 0.0, 0.0, 2010-04-09 00:00:00, -7.5, 5.0, 0.0
0.0, 0.0, 0.0, 2010-04-10 00:00:00, -8.0, 8.0, 0.0
0.0, 0.0, 0.0, 2010-04-11 00:00:00, -6.5, 7.0, 0.0
0.0, 0.0, 0.0, 2010-04-12 00:00:00, -6.5, 8.0, 0.0
0.0, 0.0, 0.0, 2010-04-13 00:00:00, -6.0, 14.0, 0.0
0.0, 0.0, 0.0, 2010-04-14 00:00:00, -2.5, 15.0, 0.0
0.0, 0.0, 0.0, 2010-04-15 00:00:00, -2.0, 19.0, 0.0
0.0, 0.0, 0.0, 2010-04-16 00:00:00, -1.0, 19.5, 0.0
0.8, 0.8, 0.0, 2010-04-17 00:00:00, 1.0, 17.5, 0.0
0.0, 0.0, 0.0, 2010-04-18 00:00:00, -2.5, 17.0, 0.0
0.0, 0.0, 0.0, 2010-04-19 00:00:00, 3.0, 20.5, 0.0
3.4, 3.4, 0.0, 2010-04-20 00:00:00, 5.5, 21.5, 0.0
0.0, 0.0, 0.0, 2010-04-21 00:00:00, 5.0, 13.5, 0.0
0.0, 0.0, 0.0, 2010-04-22 00:00:00, -3.0, 10.5, 0.0
0.2, 0.2, 0.0, 2010-04-23 00:00:00, -5.0, 11.0, 0.0
0.0, 0.0, 0.0, 2010-04-24 00:00:00, -1.0, 12.0, 0.0
0.0, 0.0, 0.0, 2010-04-25 00:00:00, -3.5, 14.0, 0.0
13.4, 13.4, 0.0, 2010-04-26 00:00:00, 4.5, 12.0, 0.0
0.6, 0.6, 0.0, 2010-04-27 00:00:00, 5.0, 10.0, 0.0
0.7, 0.7, 0.0, 2010-04-28 00:00:00, 3.0, 10.5, 0.0
0.0, 0.0, 0.0, 2010-04-29 00:00:00, 3.0, 13.0, 0.0
1.7, 1.7, 0.0, 2010-04-30 00:00:00, 1.0, 14.5, 0.0
0.2, 0.2, 0.0, 2010-05-01 00:00:00, 0.5, 11.5, 0.0
0.5, 0.5, 0.0, 2010-05-02 00:00:00, -0.5, 9.5, 0.0
4.0, 0.0, 4.0, 2010-05-03 00:00:00, 1.0, 10.5, 0.0
0.0, 0.0, 0.0, 2010-05-04 00:00:00, 0.0, 6.0, 0.0
0.0, 0.0, 0.0, 2010-05-05 00:00:00, -4.0, 10.0, 0.0
0.0, 0.0, 0.0, 2010-05-06 00:00:00, -1.0, 10.0, 0.0
0.0, 0.0, 0.0, 2010-05-07 00:00:00, -3.0, 11.0, 0.0
0.0, 0.0, 0.0, 2010-05-08 00:00:00, -6.0, 14.0, 0.0
0.0, 0.0, 0.0, 2010-05-09 00:00:00, -4.0, 16.0, 0.0
0.0, 0.0, 0.0, 2010-05-10 00:00:00, 0.0, 18.0, 0.0
0.0, 0.0, 0.0, 2010-05-11 00:00:00, 1.0, 19.5, 0.0
0.0, 0.0, 0.0, 2010-05-12 00:00:00, 4.0, 16.0, 0.0
0.0, 0.0, 0.0, 2010-05-13 00:00:00, 1.5, 17.5, 0.0
0.0, 0.0, 0.0, 2010-05-14 00:00:00, 3.0, 21.0, 0.0
0.0, 0.0, 0.0, 2010-05-15 00:00:00, 4.5, 21.0, 0.0
0.0, 0.0, 0.0, 2010-05-16 00:00:00, 7.0, 17.5, 0.0
1.2, 1.2, 0.0, 2010-05-17 00:00:00, 7.0, 19.0, 0.0
19.0, 19.0, 0.0, 2010-05-18 00:00:00, 8.0, 17.5, 0.0
0.0, 0.0, 0.0, 2010-05-19 00:00:00, 5.0, 16.5, 0.0
