station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, time, MIN_TEMP, MAX_TEMP, SNOW_ON_THE_GROUND
0.0, None, 2010-01-02 00:00:00, -2.1, 0.4, 160.0
0.7, None, 2010-01-03 00:00:00, -2.7, -1.3, 156.0
3.3, 0.0, 2010-01-04 00:00:00, -2.9, -1.4, 157.0
0.0, None, 2010-01-05 00:00:00, -6.1, -1.3, 158.0
0.0, None, 2010-01-06 00:00:00, -9.2, -0.5, 156.0
0.8, None, 2010-01-07 00:00:00, -4.9, 4.6, 153.0
13.5, None, 2010-01-08 00:00:00, -0.7, 4.5, 154.0
3.1, None, 2010-01-09 00:00:00, 0.6, 2.6, 149.0
8.4, None, 2010-01-10 00:00:00, 1.4, 4.3, 144.0
100.4, None, 2010-01-11 00:00:00, 0.6, 3.6, 138.0
2.5, None, 2010-01-13 00:00:00, -0.2, 1.8, 129.0
13.9, 0.0, 2010-01-14 00:00:00, -2.6, 0.7, 128.0
24.2, 0.0, 2010-01-15 00:00:00, -4.3, 0.0, 164.0
0.0, None, 2010-01-16 00:00:00, -6.6, -2.6, 175.0
4.6, None, 2010-01-17 00:00:00, -4.4, 0.5, 169.0
None, None, 2010-01-18 00:00:00, -2.1, 0.7, 172.0
0.0, None, 2010-01-19 00:00:00, -2.4, 2.3, 179.0
None, None, 2010-01-20 00:00:00, -1.1, 0.7, 174.0
0.0, None, 2010-01-21 00:00:00, -1.1, 1.5, 173.0
0.0, None, 2010-01-22 00:00:00, -2.5, 0.0, 169.0
0.0, None, 2010-01-23 00:00:00, -3.1, 0.2, 166.0
0.3, None, 2010-01-24 00:00:00, -5.4, -1.1, 163.0
None, None, 2010-01-25 00:00:00, -4.6, -0.8, 165.0
0.0, None, 2010-01-26 00:00:00, -1.9, 0.8, 168.0
0.3, None, 2010-01-27 00:00:00, -3.9, -0.3, 166.0
0.0, None, 2010-01-28 00:00:00, -2.7, 1.7, 164.0
0.0, None, 2010-01-29 00:00:00, 0.7, 5.1, 162.0
2.3, None, 2010-01-30 00:00:00, -0.4, 2.1, 156.0
0.0, None, 2010-01-31 00:00:00, -1.1, 0.2, 156.0
0.0, None, 2010-02-01 00:00:00, -2.7, 0.2, 154.0
1.6, 0.0, 2010-02-02 00:00:00, -2.0, 0.5, 153.0
0.0, None, 2010-02-03 00:00:00, -2.8, 0.7, 155.0
0.0, None, 2010-02-04 00:00:00, -2.2, 1.2, 155.0
None, None, 2010-02-05 00:00:00, -1.7, 2.3, 154.0
0.0, None, 2010-02-06 00:00:00, -3.0, 3.2, 157.0
0.0, None, 2010-02-07 00:00:00, -0.8, 1.7, 156.0
0.0, None, 2010-02-08 00:00:00, -3.0, 0.9, 155.0
0.0, None, 2010-02-09 00:00:00, -4.2, 0.8, 154.0
0.6, 0.0, 2010-02-10 00:00:00, -3.0, -1.6, 154.0
3.3, 0.0, 2010-02-11 00:00:00, -2.9, 0.7, 155.0
10.5, 0.0, 2010-02-12 00:00:00, -1.4, 1.2, 163.0
8.1, 0.0, 2010-02-13 00:00:00, -2.7, 2.5, 166.0
21.6, 0.0, 2010-02-14 00:00:00, -2.1, 2.8, 165.0
0.0, None, 2010-02-15 00:00:00, -3.7, 1.5, 169.0
7.6, 0.0, 2010-02-16 00:00:00, -1.7, 0.7, 171.0
0.0, None, 2010-02-17 00:00:00, -3.1, 0.6, 171.0
0.0, None, 2010-02-18 00:00:00, -2.8, 4.2, 171.0
0.0, None, 2010-02-19 00:00:00, 0.0, 5.3, 170.0
0.0, None, 2010-02-20 00:00:00, -0.4, 5.5, 169.0
0.0, None, 2010-02-21 00:00:00, -0.8, 3.6, 168.0
0.0, None, 2010-02-22 00:00:00, -0.4, 4.1, 168.0
1.3, 0.0, 2010-02-23 00:00:00, -2.3, 2.1, 167.0
3.1, 0.0, 2010-02-24 00:00:00, -2.3, -0.6, 169.0
1.7, 0.0, 2010-02-25 00:00:00, -2.6, 0.3, 170.0
2.7, 0.0, 2010-02-26 00:00:00, -2.2, 0.4, 174.0
2.4, None, 2010-02-27 00:00:00, -0.4, 2.3, 181.0
0.3, None, 2010-02-28 00:00:00, -0.6, 1.9, 179.0
0.0, None, 2010-03-01 00:00:00, 0.0, 6.6, 174.0
1.7, None, 2010-03-02 00:00:00, 0.2, 5.1, 172.0
0.0, None, 2010-03-03 00:00:00, -0.9, 4.1, 169.0
0.0, None, 2010-03-04 00:00:00, -2.4, 2.2, 169.0
0.0, None, 2010-03-05 00:00:00, -2.4, 3.6, 169.0
0.0, None, 2010-03-06 00:00:00, -1.3, 4.9, 168.0
4.8, 0.0, 2010-03-07 00:00:00, -2.7, 1.9, 168.0
0.0, None, 2010-03-08 00:00:00, -6.8, -2.4, 175.0
0.0, None, 2010-03-09 00:00:00, -9.1, -4.0, 174.0
1.0, 0.0, 2010-03-10 00:00:00, -6.6, -2.2, 174.0
12.8, 0.0, 2010-03-11 00:00:00, -5.1, -0.4, 184.0
7.6, 0.0, 2010-03-12 00:00:00, -5.8, -2.3, 203.0
1.4, None, 2010-03-13 00:00:00, -5.8, -1.4, 205.0
8.9, 0.0, 2010-03-14 00:00:00, -4.7, -0.6, 202.0
5.4, None, 2010-03-15 00:00:00, -2.1, 6.2, 211.0
32.4, None, 2010-03-16 00:00:00, -1.0, 4.7, 197.0
0.3, None, 2010-03-17 00:00:00, -3.9, 2.2, 194.0
0.0, None, 2010-03-18 00:00:00, -5.9, 1.5, 194.0
0.0, None, 2010-03-19 00:00:00, -3.0, 5.7, 193.0
0.0, None, 2010-03-20 00:00:00, 0.2, 7.4, 192.0
5.4, 0.0, 2010-03-21 00:00:00, -1.4, 3.0, 192.0
1.2, None, 2010-03-22 00:00:00, -2.1, 1.5, 193.0
0.0, None, 2010-03-23 00:00:00, -2.2, 3.1, 191.0
0.0, None, 2010-03-24 00:00:00, -0.2, 8.0, 189.0
0.9, None, 2010-03-25 00:00:00, -0.7, 5.8, 188.0
0.0, None, 2010-03-26 00:00:00, -1.1, 2.2, 186.0
0.0, None, 2010-03-27 00:00:00, -2.3, 4.4, 185.0
12.3, 0.0, 2010-03-28 00:00:00, -1.8, 4.9, 189.0
22.2, 0.0, 2010-03-29 00:00:00, -3.6, 0.5, 213.0
8.9, 0.0, 2010-03-30 00:00:00, -4.4, 0.0, 225.0
0.3, None, 2010-03-31 00:00:00, -4.9, 1.0, 223.0
6.1, 0.0, 2010-04-01 00:00:00, -4.9, -1.1, 218.0
15.8, 0.0, 2010-04-02 00:00:00, -4.0, -0.7, 225.0
1.3, None, 2010-04-03 00:00:00, -6.4, -0.4, 248.0
0.0, None, 2010-04-04 00:00:00, -6.5, 3.4, 240.0
