station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
None, None, 0.1, None, 2010-01-01 00:00:00, None, 2.1
None, None, 2.0, None, 2010-01-02 00:00:00, None, 6.7
None, None, 2.8, None, 2010-01-03 00:00:00, None, 5.6
None, None, 1.3, None, 2010-01-04 00:00:00, None, 3.3
None, None, -2.1, None, 2010-01-05 00:00:00, None, 5.3
None, None, -6.6, None, 2010-01-06 00:00:00, None, -0.7
None, None, -8.2, None, 2010-01-07 00:00:00, None, -5.1
None, None, -7.9, None, 2010-01-08 00:00:00, None, -3.2
None, None, -3.3, None, 2010-01-09 00:00:00, None, 0.4
None, None, 0.0, None, 2010-01-10 00:00:00, None, 2.8
None, None, 2.3, None, 2010-01-11 00:00:00, None, 3.7
None, None, 2.1, None, 2010-01-12 00:00:00, None, 3.6
None, None, 1.9, None, 2010-01-13 00:00:00, None, 4.9
None, None, 2.7, None, 2010-01-14 00:00:00, None, 8.0
None, None, 3.8, None, 2010-01-15 00:00:00, None, 6.6
None, None, 0.7, None, 2010-01-16 00:00:00, None, 6.2
None, None, 0.2, None, 2010-01-17 00:00:00, None, 3.7
None, None, 0.9, None, 2010-01-18 00:00:00, None, 6.5
None, None, 1.0, None, 2010-01-19 00:00:00, None, 5.4
None, None, 0.7, None, 2010-01-20 00:00:00, None, 4.2
None, None, -0.7, None, 2010-01-21 00:00:00, None, 3.0
None, None, -0.9, None, 2010-01-22 00:00:00, None, 2.7
None, None, -2.1, None, 2010-01-23 00:00:00, None, 3.2
None, None, -3.0, None, 2010-01-24 00:00:00, None, 1.2
None, None, -2.5, None, 2010-01-25 00:00:00, None, 1.3
None, None, -0.5, None, 2010-01-26 00:00:00, None, 2.4
None, None, -2.4, None, 2010-01-27 00:00:00, None, 1.4
None, None, -2.7, None, 2010-01-28 00:00:00, None, 1.5
None, None, -1.6, None, 2010-01-29 00:00:00, None, 2.1
None, None, -1.7, None, 2010-01-30 00:00:00, None, 3.1
None, None, 1.3, None, 2010-01-31 00:00:00, None, 5.3
None, None, 1.1, None, 2010-02-01 00:00:00, None, 4.7
None, None, 1.5, None, 2010-02-02 00:00:00, None, 4.8
None, None, 1.7, None, 2010-02-03 00:00:00, None, 4.5
None, None, 0.8, None, 2010-02-04 00:00:00, None, 4.3
None, None, 0.8, None, 2010-02-05 00:00:00, None, 2.4
None, None, 1.0, None, 2010-02-06 00:00:00, None, 9.0
None, None, 2.1, None, 2010-02-07 00:00:00, None, 4.8
None, None, -0.2, None, 2010-02-08 00:00:00, None, 4.0
None, None, 1.4, None, 2010-02-09 00:00:00, None, 2.8
None, None, 1.6, None, 2010-02-10 00:00:00, None, 4.7
None, None, 2.3, None, 2010-02-11 00:00:00, None, 5.9
None, None, 1.9, None, 2010-02-12 00:00:00, None, 6.4
None, None, 2.9, None, 2010-02-13 00:00:00, None, 10.7
None, None, 3.4, None, 2010-02-14 00:00:00, None, 6.2
None, None, 3.5, None, 2010-02-15 00:00:00, None, 9.8
None, None, 2.9, None, 2010-02-16 00:00:00, None, 6.6
None, None, 2.5, None, 2010-02-17 00:00:00, None, 9.4
None, None, -0.1, None, 2010-02-18 00:00:00, None, 6.9
None, None, -1.8, None, 2010-02-19 00:00:00, None, 5.7
None, None, -2.2, None, 2010-02-20 00:00:00, None, 4.6
None, None, -2.9, None, 2010-02-21 00:00:00, None, 4.2
None, None, -3.0, None, 2010-02-22 00:00:00, None, 3.6
None, None, -2.4, None, 2010-02-23 00:00:00, None, 5.4
None, None, 0.6, None, 2010-02-24 00:00:00, None, 5.9
None, None, 3.0, None, 2010-02-25 00:00:00, None, 9.4
None, None, 1.5, None, 2010-02-26 00:00:00, None, 7.6
None, None, 3.5, None, 2010-02-27 00:00:00, None, 10.2
None, None, 3.5, None, 2010-02-28 00:00:00, None, 9.3
0.0, None, 1.4, None, 2010-03-01 00:00:00, None, 10.2
0.0, None, 1.8, None, 2010-03-02 00:00:00, None, 7.5
0.2, None, 1.3, None, 2010-03-03 00:00:00, None, 10.1
0.8, None, 4.2, None, 2010-03-04 00:00:00, None, 10.5
0.0, None, 2.6, None, 2010-03-05 00:00:00, None, 10.3
0.0, None, -0.3, None, 2010-03-06 00:00:00, None, 8.8
0.0, None, -1.7, None, 2010-03-07 00:00:00, None, 7.2
2.0, None, 2.3, None, 2010-03-08 00:00:00, None, 8.4
0.0, None, -1.3, None, 2010-03-09 00:00:00, None, 8.7
0.0, None, -3.5, None, 2010-03-10 00:00:00, None, 10.1
0.8, None, 2.4, None, 2010-03-11 00:00:00, None, 4.4
12.2, None, 3.0, None, 2010-03-12 00:00:00, None, 8.0
0.0, None, 0.3, None, 2010-03-13 00:00:00, None, 9.9
0.0, None, -1.0, None, 2010-03-14 00:00:00, None, 9.7
0.0, None, 2.8, None, 2010-03-15 00:00:00, None, 12.3
0.0, None, 2.7, None, 2010-03-16 00:00:00, None, 9.9
0.4, None, 2.1, None, 2010-03-17 00:00:00, None, 12.9
0.0, None, -1.2, None, 2010-03-18 00:00:00, None, 11.3
0.0, None, -3.7, None, 2010-03-19 00:00:00, None, 10.7
0.0, None, -3.8, None, 2010-03-20 00:00:00, None, 13.5
2.6, None, 3.2, None, 2010-03-21 00:00:00, None, 11.6
0.0, None, 4.4, None, 2010-03-22 00:00:00, None, 13.1
0.0, None, 1.4, None, 2010-03-23 00:00:00, None, 11.5
0.0, None, 0.2, None, 2010-03-24 00:00:00, None, 14.5
0.0, None, 0.3, None, 2010-03-25 00:00:00, None, 12.5
0.8, None, 6.0, None, 2010-03-26 00:00:00, None, 15.0
0.0, None, 1.7, None, 2010-03-27 00:00:00, None, 16.3
0.6, None, 3.5, None, 2010-03-28 00:00:00, None, 11.0
3.2, None, 4.5, None, 2010-03-29 00:00:00, None, 15.2
0.6, None, 1.9, None, 2010-03-30 00:00:00, None, 10.7
0.0, None, 0.8, None, 2010-03-31 00:00:00, None, 12.6
0.0, None, 1.1, None, 2010-04-01 00:00:00, None, 12.2
0.0, None, -0.3, None, 2010-04-02 00:00:00, None, 8.6
1.6, None, 2.4, None, 2010-04-03 00:00:00, None, 7.4
0.0, None, 0.2, None, 2010-04-04 00:00:00, None, 11.8
0.2, None, -1.1, None, 2010-04-05 00:00:00, None, 9.6
1.0, None, 3.4, None, 2010-04-06 00:00:00, None, 11.2
2.4, None, 3.7, None, 2010-04-07 00:00:00, None, 8.1
8.0, None, 0.9, None, 2010-04-08 00:00:00, None, 7.1
0.0, None, -0.8, None, 2010-04-09 00:00:00, None, 8.6
0.0, None, -2.5, None, 2010-04-10 00:00:00, None, 9.4
0.0, None, -1.8, None, 2010-04-11 00:00:00, None, 9.0
0.0, None, -1.1, None, 2010-04-12 00:00:00, None, 14.7
0.0, None, 2.9, None, 2010-04-13 00:00:00, None, 18.8
0.0, None, 3.0, None, 2010-04-14 00:00:00, None, 18.8
0.0, None, 2.7, None, 2010-04-15 00:00:00, None, 19.0
0.0, None, 2.1, None, 2010-04-16 00:00:00, None, 20.1
4.2, None, 3.6, None, 2010-04-17 00:00:00, None, 15.5
0.4, None, 9.0, None, 2010-04-18 00:00:00, None, 18.9
0.0, None, 5.9, None, 2010-04-19 00:00:00, None, 19.7
0.0, None, 6.2, None, 2010-04-20 00:00:00, None, 23.3
0.0, None, 6.0, None, 2010-04-21 00:00:00, None, 24.6
0.0, None, 6.2, None, 2010-04-22 00:00:00, None, 17.3
0.0, None, 2.3, None, 2010-04-23 00:00:00, None, 19.5
3.2, None, 4.4, None, 2010-04-24 00:00:00, None, 13.4
0.0, None, 1.7, None, 2010-04-25 00:00:00, None, 16.9
