station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -5.5, 0.0, 2014-01-14 00:00:00, 73.0, 3.5
0.0, 0.0, -3.5, 0.0, 2014-01-15 00:00:00, 69.0, 5.0
0.0, 0.0, -6.5, 0.0, 2014-01-17 00:00:00, 62.0, 4.0
0.0, 0.0, -5.0, 0.0, 2014-01-18 00:00:00, 62.0, 5.5
0.0, 0.0, -4.0, 0.0, 2015-02-20 00:00:00, 37.0, 4.5
0.0, 0.0, -5.0, 0.0, 2015-02-21 00:00:00, 37.0, 3.0
0.0, 0.0, -10.0, 0.0, 2015-02-22 00:00:00, 37.0, 2.5
0.0, 0.0, -7.5, 0.0, 2015-02-23 00:00:00, 37.0, 7.0
0.0, 0.0, -7.0, 0.0, 2015-02-24 00:00:00, 37.0, 7.5
0.0, 0.0, -7.5, 0.0, 2015-02-25 00:00:00, 37.0, 4.5
4.0, 0.0, -7.0, 4.0, 2015-02-26 00:00:00, 38.0, 4.0
0.0, 0.0, -8.0, 0.0, 2015-02-27 00:00:00, 39.0, 2.5
0.0, 0.0, -13.5, 0.0, 2015-02-28 00:00:00, 39.0, 1.0
0.0, 0.0, -14.5, 0.0, 2015-03-01 00:00:00, 38.0, 1.0
0.0, 0.0, -7.0, 0.0, 2015-03-02 00:00:00, 40.0, -0.5
0.0, 0.0, -15.0, 0.0, 2015-03-03 00:00:00, 39.0, -2.0
0.0, 0.0, -15.0, 0.0, 2015-03-04 00:00:00, 39.0, 2.5
0.0, 0.0, -15.5, 0.0, 2015-03-05 00:00:00, 40.0, 4.5
0.0, 0.0, -5.5, 0.0, 2015-03-06 00:00:00, 38.0, 9.0
0.0, 0.0, -3.0, 0.0, 2015-03-07 00:00:00, 37.0, 7.0
0.0, 0.0, -3.5, 0.0, 2015-03-08 00:00:00, 36.0, 10.5
0.0, 0.0, -3.5, 0.0, 2015-03-09 00:00:00, 34.0, 12.0
0.0, 0.0, -2.5, 0.0, 2015-03-10 00:00:00, 34.0, 10.5
0.0, 0.0, -2.5, 0.0, 2015-03-11 00:00:00, 30.0, 10.0
None, None, 2.0, None, 2015-03-12 00:00:00, 27.0, None
0.0, 0.0, None, 0.0, 2015-03-13 00:00:00, None, 10.5
0.0, 0.0, 0.0, 0.0, 2015-03-14 00:00:00, 20.0, 9.5
0.0, 0.0, -2.0, 0.0, 2015-03-15 00:00:00, 18.0, 3.0
0.0, 0.0, -7.0, 0.0, 2015-03-16 00:00:00, 20.0, 7.5
0.0, 0.0, -9.0, 0.0, 2015-03-17 00:00:00, 20.0, 8.0
0.6, 0.0, -3.5, 0.6, 2015-03-18 00:00:00, 16.0, 9.5
0.0, 0.0, -3.0, 0.0, 2015-03-19 00:00:00, 15.0, 7.0
0.0, 0.0, 1.0, 0.0, 2015-03-20 00:00:00, 13.0, 4.0
2.0, 0.0, 0.5, 2.0, 2015-03-21 00:00:00, 11.0, 5.0
0.0, 0.0, -3.0, 0.0, 2015-03-22 00:00:00, 13.0, 6.0
0.0, 0.0, -3.5, 0.0, 2015-03-23 00:00:00, 10.0, 7.5
0.0, 0.0, -1.5, 0.0, 2015-03-24 00:00:00, 9.0, 7.0
9.0, 0.0, -2.0, 9.0, 2015-03-25 00:00:00, 6.0, 2.5
0.0, 0.0, -2.5, 0.0, 2015-03-26 00:00:00, 15.0, 8.0
0.0, 0.0, 0.5, 0.0, 2015-03-27 00:00:00, 7.0, 11.5
0.0, 0.0, 1.5, 0.0, 2015-03-28 00:00:00, 0.0, 9.5
0.0, 0.0, 0.0, 0.0, 2015-03-29 00:00:00, 0.0, 9.5
0.0, 0.0, -0.5, 0.0, 2015-03-30 00:00:00, 0.0, 10.0
1.0, 0.0, 0.0, 1.0, 2015-03-31 00:00:00, 0.0, 4.5
0.0, 0.0, -6.5, 0.0, 2015-04-01 00:00:00, 1.0, 5.5
0.0, 0.0, -6.5, 0.0, 2015-04-02 00:00:00, 0.0, 6.5
5.0, 0.0, -5.5, 5.0, 2015-04-03 00:00:00, 0.0, 4.0
0.0, 0.0, -6.0, 0.0, 2015-04-04 00:00:00, 5.0, 4.0
0.0, 0.0, -7.5, 0.0, 2015-04-05 00:00:00, 0.0, 7.0
0.0, 0.0, -8.0, 0.0, 2015-04-06 00:00:00, 0.0, 8.0
0.0, 0.0, -5.5, 0.0, 2015-04-07 00:00:00, 0.0, 9.5
0.0, 0.0, -4.0, 0.0, 2015-04-08 00:00:00, 0.0, 10.5
0.0, 0.0, -5.5, 0.0, 2015-04-09 00:00:00, 0.0, 12.5
0.0, 0.0, -4.0, 0.0, 2015-04-10 00:00:00, 0.0, 7.0
0.0, 0.0, -2.0, 0.0, 2015-04-11 00:00:00, 0.0, 5.0
None, None, -5.5, None, 2015-04-12 00:00:00, 0.0, None
12.0, 0.0, None, 12.0, 2015-11-11 00:00:00, None, 9.0
0.0, 0.0, -10.0, 0.0, 2015-11-12 00:00:00, 12.0, 1.0
0.0, 0.0, -8.0, 0.0, 2015-11-13 00:00:00, 15.0, 4.0
None, None, -1.0, None, 2015-11-14 00:00:00, 7.0, None
0.0, 0.0, -2.0, 0.0, 2015-11-15 00:00:00, 18.0, -1.0
4.0, 0.0, -10.0, 4.0, 2015-11-16 00:00:00, 23.0, -2.0
3.0, 0.0, -12.0, 3.0, 2015-11-17 00:00:00, 24.0, -2.0
None, None, -5.0, None, 2015-11-18 00:00:00, 25.0, None
0.0, 0.0, None, 0.0, 2015-11-19 00:00:00, None, -2.0
0.0, 0.0, -11.0, 0.0, 2015-11-20 00:00:00, 23.0, -1.5
0.0, 0.0, -11.0, 0.0, 2015-11-21 00:00:00, 23.0, -1.0
1.0, 0.0, -6.0, 1.0, 2015-11-22 00:00:00, 22.0, 1.0
18.0, 0.0, -5.0, 18.0, 2015-11-23 00:00:00, 23.0, -2.5
1.0, 0.0, -7.0, 1.0, 2015-11-24 00:00:00, 38.0, -7.0
0.0, 0.0, -17.0, 0.0, 2015-11-25 00:00:00, 38.0, -7.5
0.0, 0.0, -18.0, 0.0, 2015-11-26 00:00:00, 36.0, -6.0
0.0, 0.0, -16.0, 0.0, 2015-11-27 00:00:00, 35.0, -4.0
0.0, 0.0, -14.0, 0.0, 2015-11-28 00:00:00, 33.0, -1.5
0.0, 0.0, -11.5, 0.0, 2015-11-29 00:00:00, 33.0, 1.5
0.0, 0.0, -9.0, 0.0, 2015-11-30 00:00:00, 32.0, -1.0
None, None, -11.5, None, 2015-12-01 00:00:00, 31.0, None
5.0, 0.0, -11.0, 5.0, 2015-12-02 00:00:00, 35.0, -0.5
0.0, 0.0, -6.0, 0.0, 2015-12-03 00:00:00, 40.0, 1.5
0.0, 0.0, -1.5, 0.0, 2015-12-04 00:00:00, 38.0, 2.0
19.0, 0.0, -4.0, 19.0, 2015-12-05 00:00:00, 38.0, -0.5
0.0, 0.0, -3.0, 0.0, 2015-12-06 00:00:00, 53.0, 1.0
4.0, 0.0, -1.5, 4.0, 2015-12-07 00:00:00, 58.0, 2.5
7.0, 0.0, 0.0, 7.0, 2015-12-08 00:00:00, 66.0, 4.5
1.0, 0.0, 0.0, 1.0, 2015-12-09 00:00:00, 59.0, 2.0
0.0, 0.0, -5.0, 0.0, 2015-12-10 00:00:00, 59.0, -1.0
0.0, 0.0, -6.5, 0.0, 2015-12-11 00:00:00, 60.0, -1.0
7.0, 0.0, -8.5, 7.0, 2015-12-12 00:00:00, 57.0, -2.0
12.0, 0.0, -6.0, 12.0, 2015-12-13 00:00:00, 64.0, -1.5
None, None, -5.0, None, 2015-12-14 00:00:00, 69.0, None
3.0, 0.0, -9.5, 3.0, 2015-12-15 00:00:00, 66.0, -4.0
0.1, 0.0, -10.0, 0.1, 2015-12-16 00:00:00, 68.0, -5.0
11.0, 0.0, -15.5, 11.0, 2015-12-17 00:00:00, 64.0, -10.0
0.0, 0.0, -15.0, 0.0, 2015-12-18 00:00:00, 69.0, -1.5
0.0, 0.0, -7.5, 0.0, 2015-12-19 00:00:00, 66.0, -3.0
0.0, 0.0, -8.5, 0.0, 2015-12-20 00:00:00, 64.0, -3.0
1.0, 0.0, -6.5, 1.0, 2015-12-21 00:00:00, 65.0, -4.5
3.0, 0.0, -11.5, 3.0, 2015-12-22 00:00:00, 63.0, -3.5
None, None, -9.0, None, 2015-12-23 00:00:00, 64.0, None
0.0, 0.0, None, 0.0, 2015-12-24 00:00:00, None, -7.0
0.0, 0.0, -14.0, 0.0, 2015-12-25 00:00:00, 67.0, -9.0
21.0, 0.0, -17.5, 21.0, 2015-12-26 00:00:00, 65.0, -9.0
0.0, 0.0, -11.5, 0.0, 2015-12-27 00:00:00, 83.0, -7.0
1.0, 0.0, -9.0, 1.0, 2015-12-28 00:00:00, 90.0, -4.5
4.0, 0.0, -9.5, 4.0, 2015-12-29 00:00:00, 85.0, -8.0
0.0, 0.0, -14.0, 0.0, 2015-12-30 00:00:00, 87.0, -10.5
0.0, 0.0, -15.0, 0.0, 2015-12-31 00:00:00, 84.0, -9.0
0.0, 0.0, -15.0, 0.0, 2016-01-01 00:00:00, 80.0, -4.0
0.0, 0.0, -13.5, 0.0, 2016-01-02 00:00:00, 78.0, -4.5
4.0, 0.0, -12.5, 4.0, 2016-01-03 00:00:00, 74.0, 0.0
4.0, 0.0, -12.0, 4.0, 2016-01-04 00:00:00, 76.0, -1.0
16.0, 0.0, -4.0, 16.0, 2016-01-05 00:00:00, 77.0, 0.5
0.0, 0.0, -2.0, 0.0, 2016-01-06 00:00:00, 88.0, 2.5
0.0, 0.0, -1.5, 0.0, 2016-01-07 00:00:00, 84.0, -1.0
0.0, 0.0, -7.5, 0.0, 2016-01-08 00:00:00, 80.0, -2.0
0.0, 0.0, -9.0, 0.0, 2016-01-09 00:00:00, 80.0, 0.0
0.0, 0.0, -11.0, 0.0, 2016-01-10 00:00:00, 78.0, -4.0
7.0, 0.0, -7.5, 7.0, 2016-01-11 00:00:00, 75.0, -6.0
7.0, 0.0, -7.0, 7.0, 2016-01-12 00:00:00, 81.0, -2.5
3.0, 0.0, -6.5, 3.0, 2016-01-13 00:00:00, 85.0, 0.0
0.0, 0.0, -6.0, 0.0, 2016-01-14 00:00:00, 86.0, 0.5
0.0, 0.0, -7.0, 0.0, 2016-01-15 00:00:00, 85.0, -1.5
0.0, 0.0, -5.5, 0.0, 2016-01-16 00:00:00, 80.0, -3.0
3.0, 0.0, -6.0, 3.0, 2016-01-17 00:00:00, 86.0, -1.0
1.0, 0.0, -5.0, 1.0, 2016-01-18 00:00:00, 86.0, -3.0
0.0, 0.0, -4.0, 0.0, 2016-01-19 00:00:00, 86.0, 0.5
8.0, 0.0, -4.0, 8.0, 2016-01-20 00:00:00, 85.0, 2.0
0.0, 0.0, -5.0, 0.0, 2016-01-21 00:00:00, 91.0, 1.0
0.0, 0.0, -3.0, 0.0, 2016-01-22 00:00:00, 92.0, 2.0
0.0, 0.0, -3.5, 0.0, 2016-01-23 00:00:00, 88.0, 2.5
0.0, 0.0, -4.0, 0.0, 2016-01-24 00:00:00, 87.0, 2.0
0.0, 0.0, -8.0, 0.0, 2016-01-25 00:00:00, 86.0, -0.5
1.0, 0.0, -7.0, 1.0, 2016-01-26 00:00:00, 0.0, 1.5
0.0, 0.0, -4.0, 0.0, 2016-01-27 00:00:00, 85.0, 2.0
0.0, 0.0, -1.5, 0.0, 2016-01-28 00:00:00, 0.0, 3.5
0.0, 0.0, -5.0, 0.0, 2016-01-29 00:00:00, 83.0, -1.5
0.0, 0.0, -7.5, 0.0, 2016-01-30 00:00:00, 88.0, 0.0
0.0, 0.0, -8.5, 0.0, 2016-01-31 00:00:00, 88.0, -1.5
None, None, -8.0, None, 2016-02-01 00:00:00, 86.0, None
0.0, 0.0, -8.0, 0.0, 2016-02-02 00:00:00, 88.0, -0.5
15.0, 0.0, -11.5, 15.0, 2016-02-03 00:00:00, 86.0, -5.0
0.0, 0.0, -10.0, 0.0, 2016-02-04 00:00:00, 99.0, 3.0
0.0, 0.0, -6.5, 0.0, 2016-02-05 00:00:00, 95.0, 1.0
0.0, 0.0, -2.5, 0.0, 2016-02-06 00:00:00, 93.0, 2.0
0.0, 0.0, -10.0, 0.0, 2016-02-07 00:00:00, 90.0, -0.5
0.0, 0.0, -9.5, 0.0, 2016-02-08 00:00:00, 91.0, 2.0
0.0, 0.0, -3.0, 0.0, 2016-02-09 00:00:00, 90.0, 6.0
0.0, 0.0, -1.0, 0.0, 2016-02-10 00:00:00, 85.0, 3.0
8.0, 0.0, -3.5, 8.0, 2016-02-11 00:00:00, 84.0, 4.5
0.0, 0.0, -3.5, 0.0, 2016-02-12 00:00:00, 91.0, 3.0
0.0, 0.0, -1.5, 0.0, 2016-02-13 00:00:00, 90.0, 3.5
None, None, -4.5, None, 2016-02-14 00:00:00, 88.0, None
6.0, 0.0, -4.0, 6.0, 2016-02-15 00:00:00, 0.0, 4.5
0.1, 0.0, -2.5, 0.1, 2016-02-16 00:00:00, 94.0, 3.5
11.0, 0.0, -3.5, 11.0, 2016-02-17 00:00:00, 89.0, 1.5
10.0, 0.0, -2.0, 10.0, 2016-02-18 00:00:00, 98.0, 2.0
0.0, 0.0, -4.5, 0.0, 2016-02-19 00:00:00, 104.0, 1.0
0.0, 0.0, -4.5, 0.0, 2016-02-20 00:00:00, 103.0, 4.5
9.0, 0.0, -8.0, 9.0, 2016-02-21 00:00:00, 96.0, 0.0
0.0, 0.0, -7.5, 0.0, 2016-02-22 00:00:00, 104.0, 2.0
0.0, 0.0, -11.0, 0.0, 2016-02-23 00:00:00, 100.0, 2.5
0.0, 0.0, -11.0, 0.0, 2016-02-24 00:00:00, 100.0, 4.0
0.0, 0.0, -7.0, 0.0, 2016-02-25 00:00:00, 97.0, 6.0
0.0, 0.0, -6.0, 0.0, 2016-02-26 00:00:00, 96.0, 7.0
0.0, 0.0, -2.5, 0.0, 2016-02-27 00:00:00, 92.0, 7.5
9.0, 0.0, -3.5, 9.0, 2016-02-28 00:00:00, 88.0, 2.0
0.0, 0.0, -2.5, 0.0, 2016-02-29 00:00:00, 104.0, 5.0
None, None, -5.0, None, 2016-03-01 00:00:00, 98.0, None
3.0, 0.0, -5.5, 3.0, 2016-03-02 00:00:00, 107.0, 3.0
0.0, 0.0, -5.0, 0.0, 2016-03-03 00:00:00, 105.0, 7.0
0.0, 0.0, -2.5, 0.0, 2016-03-04 00:00:00, 100.0, 6.0
0.0, None, -2.0, 0.0, 2016-03-05 00:00:00, 96.0, 8.5
0.0, 0.0, 1.0, 0.0, 2016-03-06 00:00:00, 0.0, 6.5
3.0, 0.0, -3.5, 3.0, 2016-03-07 00:00:00, 89.0, 2.5
1.0, 0.0, -4.0, 1.0, 2016-03-08 00:00:00, 92.0, 2.5
8.0, 0.0, -7.5, 8.0, 2016-03-09 00:00:00, 90.0, 2.0
0.0, 0.0, -7.0, 0.0, 2016-03-10 00:00:00, 99.0, 6.0
0.0, 0.0, -6.0, 0.0, 2016-03-11 00:00:00, 93.0, 5.0
0.0, 0.0, -5.5, 0.0, 2016-03-12 00:00:00, 94.0, 3.0
0.0, 0.0, -5.0, 0.0, 2016-03-13 00:00:00, 93.0, 0.0
None, None, -5.0, None, 2016-03-14 00:00:00, 105.0, None
0.1, 0.0, -8.5, 0.1, 2016-03-15 00:00:00, 104.0, 5.0
0.1, 0.0, -8.5, 0.1, 2016-03-16 00:00:00, 100.0, 2.0
0.0, 0.0, -10.0, 0.0, 2016-03-17 00:00:00, 100.0, 4.5
0.0, 0.0, -11.0, 0.0, 2016-03-18 00:00:00, 99.0, 4.0
0.0, 0.0, -10.0, 0.0, 2016-03-19 00:00:00, 97.0, 7.0
0.0, 0.0, -4.0, 0.0, 2016-03-20 00:00:00, 95.0, 7.0
0.0, 0.0, -0.5, 0.0, 2016-03-21 00:00:00, 92.0, 7.0
1.0, None, -0.5, 1.0, 2016-03-22 00:00:00, 90.0, 7.0
2.0, None, -1.0, 2.0, 2016-03-23 00:00:00, 86.0, 4.5
0.0, 0.0, -1.0, 0.0, 2016-03-24 00:00:00, 87.0, 5.0
0.0, 0.0, -2.5, 0.0, 2016-03-25 00:00:00, 86.0, 4.5
0.0, 0.0, -5.5, 0.0, 2016-03-26 00:00:00, 85.0, 6.5
6.0, 0.0, -6.0, 6.0, 2016-03-27 00:00:00, 83.0, 2.0
0.0, None, -5.0, 0.0, 2016-03-28 00:00:00, 86.0, 6.0
0.0, None, -3.5, 0.0, 2016-03-29 00:00:00, 84.0, 10.5
0.0, 0.0, -3.5, 0.0, 2016-03-30 00:00:00, 81.0, 14.0
0.0, 0.0, -0.5, 0.0, 2016-03-31 00:00:00, 76.0, 16.0
0.0, 0.0, 0.0, 0.0, 2016-04-01 00:00:00, 72.0, 18.5
0.0, 0.0, 1.0, 0.0, 2016-04-02 00:00:00, 65.0, 15.5
None, None, 0.0, None, 2016-04-03 00:00:00, 60.0, None
3.0, None, 0.0, 3.0, 2016-04-04 00:00:00, 55.0, 5.0
0.0, 0.0, 2.0, 0.0, 2016-04-05 00:00:00, 57.0, 4.5
0.0, None, -3.0, 0.0, 2016-04-06 00:00:00, 57.0, 11.0
None, None, 0.0, None, 2016-04-07 00:00:00, 54.0, None
0.0, 0.0, None, 0.0, 2016-04-08 00:00:00, None, 18.5
0.0, 0.0, 2.0, 0.0, 2016-04-09 00:00:00, 40.0, 12.5
None, None, -1.0, None, 2016-04-10 00:00:00, 37.0, None
0.0, 0.0, None, 0.0, 2016-11-09 00:00:00, None, None
None, None, -2.0, None, 2016-11-10 00:00:00, 0.0, None
2.0, 2.0, None, 0.0, 2016-11-11 00:00:00, None, 10.0
0.0, 0.0, 2.0, 0.0, 2016-11-12 00:00:00, 0.0, 9.5
None, None, -1.0, None, 2016-11-13 00:00:00, 0.0, None
1.0, 0.0, None, 1.0, 2016-11-14 00:00:00, None, 3.0
0.0, 0.0, -2.0, 0.0, 2016-11-15 00:00:00, 1.0, 0.5
1.0, 0.0, -5.0, 1.0, 2016-11-16 00:00:00, 10.0, 1.0
0.0, 0.0, -4.5, 0.0, 2016-11-17 00:00:00, 8.0, -0.5
1.0, 0.0, -2.5, 1.0, 2016-11-18 00:00:00, 9.0, 0.0
0.0, 0.0, -3.0, 0.0, 2016-11-19 00:00:00, 15.0, 0.0
0.0, 0.0, -2.5, 0.0, 2016-11-20 00:00:00, 15.0, 2.0
0.0, 0.0, 0.0, 0.0, 2016-11-21 00:00:00, 11.0, 2.5
0.0, 0.0, -4.0, 0.0, 2016-11-22 00:00:00, 8.0, 0.5
1.0, 0.0, -3.5, 1.0, 2016-11-23 00:00:00, 16.0, 3.0
13.0, 0.0, -3.5, 13.0, 2016-11-24 00:00:00, 7.0, 0.5
10.0, 0.0, -1.5, 10.0, 2016-11-25 00:00:00, 27.0, 3.0
8.0, 0.0, -3.5, 8.0, 2016-11-26 00:00:00, 33.0, 2.5
0.0, 0.0, -1.5, 0.0, 2016-11-27 00:00:00, 36.0, 0.0
0.0, 0.0, -5.0, 0.0, 2016-11-28 00:00:00, 34.0, 1.5
1.0, 0.0, -7.0, 1.0, 2016-11-29 00:00:00, 33.0, -1.5
5.0, 0.0, -7.0, 5.0, 2016-11-30 00:00:00, 32.0, -0.5
1.0, 0.0, -3.0, 1.0, 2016-12-01 00:00:00, 36.0, 0.0
None, None, -9.0, None, 2016-12-02 00:00:00, 35.0, None
5.0, 0.0, None, 5.0, 2016-12-03 00:00:00, None, 0.0
None, None, -4.5, None, 2016-12-04 00:00:00, 45.0, None
0.0, 0.0, -15.5, 0.0, 2016-12-05 00:00:00, 42.0, -5.5
0.0, 0.0, -16.5, 0.0, 2016-12-06 00:00:00, 40.0, -12.5
0.0, 0.0, -20.5, 0.0, 2016-12-07 00:00:00, 38.0, -15.5
0.0, 0.0, -21.0, 0.0, 2016-12-08 00:00:00, 37.0, -13.0
