station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
7.0, 0.0, None, 7.0, 2011-11-14 00:00:00, None, -12.0
None, None, -14.5, None, 2011-11-15 00:00:00, 66.0, None
1.0, 0.0, None, 1.0, 2011-11-17 00:00:00, None, -11.0
3.0, 0.0, -14.0, 3.0, 2011-11-18 00:00:00, 67.0, -11.0
0.0, 0.0, -15.5, 0.0, 2011-11-19 00:00:00, 68.0, -15.0
10.0, 0.0, -18.0, 10.0, 2011-11-20 00:00:00, 68.0, -11.0
1.0, 0.0, -16.0, 1.0, 2011-11-21 00:00:00, 67.0, -3.5
15.0, 0.0, -9.0, 15.0, 2011-11-22 00:00:00, 64.0, -2.0
1.0, 0.0, -8.0, 1.0, 2011-11-23 00:00:00, 70.0, -4.5
13.0, 0.0, -12.0, 13.0, 2011-11-24 00:00:00, 72.0, -7.5
3.0, 0.0, -11.5, 3.0, 2011-11-25 00:00:00, 73.0, -8.5
3.0, 0.0, -12.0, 3.0, 2011-11-26 00:00:00, 73.0, -1.0
12.0, 0.0, -7.5, 12.0, 2011-11-27 00:00:00, 75.0, -2.5
4.0, 0.0, -10.5, 4.0, 2011-11-28 00:00:00, 83.0, -7.0
10.0, 0.0, -10.0, 10.0, 2011-11-29 00:00:00, 85.0, -4.0
0.0, 0.0, -10.0, 0.0, 2011-11-30 00:00:00, 105.0, 0.0
1.0, 0.0, -12.5, 1.0, 2011-12-01 00:00:00, 103.0, -4.5
0.0, 0.0, -11.0, 0.0, 2011-12-02 00:00:00, 98.0, -4.5
0.0, 0.0, -11.5, 0.0, 2011-12-03 00:00:00, 97.0, -5.0
0.0, 0.0, -10.0, 0.0, 2011-12-04 00:00:00, 97.0, -3.0
0.0, 0.0, -10.0, 0.0, 2011-12-05 00:00:00, 97.0, -1.0
1.0, 0.0, -3.0, 1.0, 2011-12-06 00:00:00, 93.0, -4.0
0.0, 0.0, -11.0, 0.0, 2011-12-07 00:00:00, 91.0, -9.5
0.0, 0.0, -13.0, 0.0, 2011-12-08 00:00:00, 91.0, -0.5
0.0, 0.0, -9.0, 0.0, 2011-12-09 00:00:00, 90.0, 0.0
3.0, 0.0, -7.0, 3.0, 2011-12-10 00:00:00, 90.0, -5.0
0.0, 0.0, -14.0, 0.0, 2011-12-11 00:00:00, 93.0, -12.0
0.0, 0.0, -15.0, 0.0, 2011-12-12 00:00:00, 93.0, -8.0
1.0, 0.0, -11.0, 1.0, 2011-12-13 00:00:00, 90.0, -6.0
8.0, 0.0, -10.0, 8.0, 2011-12-14 00:00:00, 91.0, -7.0
2.0, 0.0, -10.0, 2.0, 2011-12-15 00:00:00, 95.0, -5.5
0.0, 0.0, -9.0, 0.0, 2011-12-16 00:00:00, 95.0, 0.0
4.0, 0.0, -7.0, 4.0, 2011-12-17 00:00:00, 96.0, -1.0
0.0, 0.0, -10.0, 0.0, 2011-12-18 00:00:00, 100.0, -7.0
0.0, 0.0, -12.0, 0.0, 2011-12-19 00:00:00, 100.0, 0.5
0.5, 0.0, -7.0, 0.5, 2011-12-20 00:00:00, 100.0, -7.0
0.0, 0.0, -13.0, 0.0, 2011-12-21 00:00:00, 100.0, -8.0
0.0, 0.0, -14.0, 0.0, 2011-12-22 00:00:00, 99.0, -8.0
3.0, 0.0, -12.0, 3.0, 2011-12-23 00:00:00, 99.0, -4.0
1.0, 0.0, -6.0, 1.0, 2011-12-24 00:00:00, 102.0, -3.0
