station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
9.0, 0.0, -6.5, 9.0, 2010-01-02 00:00:00, 238.0, -3.0
1.0, 0.0, -6.0, 1.0, 2010-01-03 00:00:00, 233.0, -6.0
3.0, 0.0, -8.5, 3.0, 2010-01-04 00:00:00, 228.0, -6.0
2.0, 0.0, -7.0, 2.0, 2010-01-05 00:00:00, 225.0, -6.0
0.0, 0.0, -16.5, 0.0, 2010-01-06 00:00:00, 221.0, -11.0
0.0, 0.0, -17.0, 0.0, 2010-01-07 00:00:00, 216.0, -6.5
7.0, 0.0, -13.0, 7.0, 2010-01-08 00:00:00, 212.0, -4.5
4.0, 0.0, -9.5, 4.0, 2010-01-09 00:00:00, 215.0, -4.0
22.0, 0.0, -7.0, 22.0, 2010-01-10 00:00:00, 216.0, -0.5
12.0, 0.0, -4.0, 12.0, 2010-01-11 00:00:00, 229.0, 1.0
12.0, 0.0, -1.0, 12.0, 2010-01-12 00:00:00, 233.0, 1.0
10.0, 0.0, -3.0, 10.0, 2010-01-13 00:00:00, 236.0, 0.5
32.0, 0.0, -3.0, 32.0, 2010-01-14 00:00:00, 240.0, -2.0
25.0, 0.0, -4.0, 25.0, 2010-01-15 00:00:00, 267.0, -2.5
1.0, 0.0, -7.5, 1.0, 2010-01-16 00:00:00, 276.0, -2.0
2.0, 0.0, -10.0, 2.0, 2010-01-17 00:00:00, 266.0, -2.5
1.0, 0.0, -5.0, 1.0, 2010-01-18 00:00:00, 260.0, -2.0
0.0, 0.0, -8.0, 0.0, 2010-01-19 00:00:00, 255.0, -1.5
0.0, 0.0, -6.5, 0.0, 2010-01-20 00:00:00, 251.0, 0.0
0.0, 0.0, -5.5, 0.0, 2010-01-21 00:00:00, 246.0, -2.5
0.0, 0.0, -7.5, 0.0, 2010-01-22 00:00:00, 241.0, -3.5
0.0, 0.0, -8.5, 0.0, 2010-01-23 00:00:00, 238.0, -4.0
1.0, 0.0, -10.5, 1.0, 2010-01-24 00:00:00, 236.0, -2.0
5.0, 0.0, -9.5, 5.0, 2010-01-25 00:00:00, 236.0, -4.0
0.0, 0.0, -9.0, 0.0, 2010-01-26 00:00:00, 236.0, -2.0
0.0, 0.0, -10.5, 0.0, 2010-01-27 00:00:00, 233.0, -2.0
0.0, 0.0, -10.0, 0.0, 2010-01-28 00:00:00, 230.0, -2.5
0.0, 0.0, -7.0, 0.0, 2010-01-29 00:00:00, 228.0, -1.0
3.0, 0.0, -4.0, 3.0, 2010-01-30 00:00:00, 226.0, -1.0
2.0, 0.0, -3.5, 2.0, 2010-01-31 00:00:00, 227.0, -3.5
None, None, -6.0, None, 2010-02-01 00:00:00, None, -3.5
None, None, -6.5, None, 2010-02-02 00:00:00, None, -3.5
None, None, -5.5, None, 2010-02-03 00:00:00, None, -2.5
None, None, -6.0, None, 2010-02-04 00:00:00, None, -2.0
None, None, -8.0, None, 2010-02-05 00:00:00, None, -2.5
None, None, -6.5, None, 2010-02-06 00:00:00, None, -0.5
None, None, -9.0, None, 2010-02-07 00:00:00, None, -1.5
None, None, -10.0, None, 2010-02-08 00:00:00, None, -1.0
None, None, -6.0, None, 2010-02-09 00:00:00, None, -4.5
None, None, -8.0, None, 2010-02-10 00:00:00, None, -3.5
None, None, -7.5, None, 2010-02-11 00:00:00, None, -3.0
None, None, -7.5, None, 2010-02-12 00:00:00, None, -1.0
None, None, -4.5, None, 2010-02-13 00:00:00, None, -1.0
None, None, -5.0, None, 2010-02-14 00:00:00, None, -1.0
None, None, -4.5, None, 2010-02-15 00:00:00, None, 0.0
None, None, -6.0, None, 2010-02-16 00:00:00, None, -0.5
None, None, -6.0, None, 2010-02-17 00:00:00, None, 0.5
None, None, -9.0, None, 2010-02-18 00:00:00, None, -4.5
None, None, -9.0, None, 2010-02-19 00:00:00, None, 1.5
None, None, -7.5, None, 2010-02-20 00:00:00, None, 1.5
None, None, -8.5, None, 2010-02-21 00:00:00, None, 2.0
None, None, -8.5, None, 2010-02-22 00:00:00, None, -3.0
None, None, -9.0, None, 2010-02-23 00:00:00, None, 0.5
None, None, -7.0, None, 2010-02-24 00:00:00, None, -1.0
None, None, -4.5, None, 2010-02-25 00:00:00, None, -1.5
None, None, -7.0, None, 2010-02-26 00:00:00, None, -1.0
None, None, -7.0, None, 2010-02-27 00:00:00, None, 1.5
None, None, -2.5, None, 2010-02-28 00:00:00, None, 2.0
None, None, -5.0, None, 2010-03-01 00:00:00, None, 5.0
None, None, -3.0, None, 2010-03-02 00:00:00, None, 5.0
None, None, -4.0, None, 2010-03-03 00:00:00, None, 6.0
None, None, -3.0, None, 2010-03-04 00:00:00, None, 2.5
None, None, -5.0, None, 2010-03-05 00:00:00, None, 4.0
None, None, -6.5, None, 2010-03-06 00:00:00, None, 4.0
None, None, -5.5, None, 2010-03-07 00:00:00, None, 2.5
None, None, -4.0, None, 2010-03-08 00:00:00, None, -3.0
None, None, -9.0, None, 2010-03-09 00:00:00, None, -3.5
