station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -16.0, 0.0, 2010-01-26 00:00:00, 80.0, -9.0
0.0, 0.0, -19.0, 0.0, 2010-01-27 00:00:00, 80.0, -10.0
0.0, 0.0, -17.0, 0.0, 2010-01-28 00:00:00, 79.0, -4.0
0.0, 0.0, -8.0, 0.0, 2010-01-29 00:00:00, 79.0, 0.0
1.0, 0.0, -10.0, 1.0, 2010-01-30 00:00:00, 79.0, -2.0
1.0, 0.0, -9.0, 1.0, 2010-01-31 00:00:00, 80.0, -2.0
1.0, 0.0, -7.0, 1.0, 2010-02-01 00:00:00, 81.0, -3.5
4.0, 0.0, -7.0, 4.0, 2010-02-02 00:00:00, 81.0, -3.5
0.0, 0.0, -7.0, 0.0, 2010-02-03 00:00:00, 85.0, -2.5
0.0, 0.0, -13.0, 0.0, 2010-02-04 00:00:00, 84.0, -2.5
0.0, 0.0, -17.5, 0.0, 2010-02-05 00:00:00, 83.0, -3.0
0.0, 0.0, -14.5, 0.0, 2010-02-06 00:00:00, 83.0, -1.5
0.0, 0.0, -16.5, 0.0, 2010-02-07 00:00:00, 82.0, -1.0
0.0, 0.0, -21.0, 0.0, 2010-02-08 00:00:00, 81.0, -5.5
1.0, 0.0, -18.5, 1.0, 2010-02-09 00:00:00, 80.0, -5.5
1.0, 0.0, -9.0, 1.0, 2010-02-10 00:00:00, 81.0, -5.0
0.0, 0.0, -9.0, 0.0, 2010-02-11 00:00:00, 82.0, -3.5
0.0, 0.0, -7.0, 0.0, 2010-02-12 00:00:00, 81.0, -0.5
0.0, 0.0, -7.5, 0.0, 2010-02-13 00:00:00, 81.0, -1.0
0.0, 0.0, -7.0, 0.0, 2010-02-14 00:00:00, 81.0, -0.5
0.0, 0.0, -9.0, 0.0, 2010-02-15 00:00:00, 81.0, -1.0
2.0, 0.0, -9.0, 2.0, 2010-02-16 00:00:00, 80.0, -1.0
0.0, 0.0, -6.5, 0.0, 2010-02-17 00:00:00, 82.0, -0.5
0.0, 0.0, -18.5, 0.0, 2010-02-18 00:00:00, 82.0, -5.0
0.0, 0.0, -16.5, 0.0, 2010-02-19 00:00:00, 81.0, 0.0
0.0, 0.0, -16.5, 0.0, 2010-02-20 00:00:00, 81.0, 1.5
0.0, 0.0, -17.5, 0.0, 2010-02-21 00:00:00, 81.0, 4.0
0.0, 0.0, -15.5, 0.0, 2010-02-22 00:00:00, 81.0, 4.5
0.0, 0.0, -13.0, 0.0, 2010-02-23 00:00:00, 81.0, 2.0
1.0, 0.0, -9.5, 1.0, 2010-02-24 00:00:00, 81.0, -2.0
0.5, 0.0, -6.0, 0.5, 2010-02-25 00:00:00, 82.0, 0.0
0.0, 0.0, -9.5, 0.0, 2010-02-26 00:00:00, 82.0, -1.0
0.0, 0.0, -4.5, 0.0, 2010-02-27 00:00:00, 82.0, 1.5
0.0, 0.0, -7.0, 0.0, 2010-02-28 00:00:00, 81.0, 1.5
0.0, 0.0, -9.0, 0.0, 2010-03-01 00:00:00, 80.0, 5.5
0.0, 0.0, -9.0, 0.0, 2010-03-02 00:00:00, 0.0, 6.5
0.0, 0.0, -6.5, 0.0, 2010-03-03 00:00:00, 80.0, 2.5
1.0, 0.0, -10.5, 1.0, 2010-03-04 00:00:00, 80.0, 2.5
0.0, 0.0, -8.5, 0.0, 2010-03-05 00:00:00, 81.0, 5.0
0.0, 0.0, -13.5, 0.0, 2010-03-06 00:00:00, 81.0, 5.5
1.0, 0.0, -13.5, 1.0, 2010-03-07 00:00:00, 81.0, 4.5
21.0, 0.0, -6.5, 21.0, 2010-03-08 00:00:00, 82.0, -0.5
0.0, 0.0, -10.5, 0.0, 2010-03-09 00:00:00, 101.0, -1.5
0.0, 0.0, -19.5, 0.0, 2010-03-10 00:00:00, 99.0, -1.0
1.0, 0.0, -12.0, 1.0, 2010-03-11 00:00:00, 97.0, -3.0
17.0, 0.0, -6.0, 17.0, 2010-03-12 00:00:00, 96.0, -1.0
0.0, 0.0, -8.5, 0.0, 2010-03-13 00:00:00, 108.0, 0.0
0.0, 0.0, -13.0, 0.0, 2010-03-14 00:00:00, 105.0, 1.0
0.0, 0.0, -10.0, 0.0, 2010-03-15 00:00:00, 102.0, 5.5
3.0, 0.0, -7.0, 3.0, 2010-03-16 00:00:00, 100.0, 8.0
6.0, 0.0, -5.0, 6.0, 2010-03-17 00:00:00, 102.0, -0.5
0.0, 0.0, -8.5, 0.0, 2010-03-18 00:00:00, 105.0, 0.5
0.0, 0.0, -18.0, 0.0, 2010-03-19 00:00:00, 103.0, 0.5
1.0, 0.0, -14.0, 1.0, 2010-03-20 00:00:00, 102.0, 5.0
2.0, 0.0, -6.0, 2.0, 2010-03-21 00:00:00, 100.0, 5.0
5.0, 0.0, -4.5, 5.0, 2010-03-22 00:00:00, 101.0, 1.0
0.1, 0.0, -7.0, 0.1, 2010-03-23 00:00:00, 105.0, 1.0
0.0, 0.0, -6.5, 0.0, 2010-03-24 00:00:00, 102.0, 5.0
3.0, 0.0, -12.0, 3.0, 2010-03-25 00:00:00, 100.0, 8.0
2.0, 0.0, -3.0, 2.0, 2010-03-26 00:00:00, 103.0, 1.5
0.0, 0.0, 1.5, 0.0, 2010-06-13 00:00:00, 0.0, 20.0
0.0, 0.0, 3.5, 0.0, 2010-06-14 00:00:00, 0.0, 11.0
0.0, 0.0, 1.0, 0.0, 2010-06-15 00:00:00, 0.0, 7.0
1.0, 1.0, -0.5, 0.0, 2010-06-16 00:00:00, 0.0, 7.0
0.0, 0.0, 1.0, 0.0, 2010-06-17 00:00:00, 0.0, 6.0
0.0, 0.0, 1.5, 0.0, 2010-06-18 00:00:00, 0.0, 11.0
3.0, 3.0, 0.0, 0.0, 2010-06-19 00:00:00, 0.0, 15.5
0.0, 0.0, 0.0, 0.0, 2010-06-20 00:00:00, 0.0, 20.5
4.0, 4.0, 1.0, 0.0, 2010-06-21 00:00:00, 0.0, 20.5
8.0, 8.0, 5.0, 0.0, 2010-06-22 00:00:00, 0.0, 12.0
0.0, 0.0, 2.5, 0.0, 2010-06-23 00:00:00, 0.0, 15.0
2.0, 2.0, 2.0, 0.0, 2010-06-24 00:00:00, 0.0, 12.0
8.0, 8.0, 2.0, 0.0, 2010-06-25 00:00:00, 0.0, 13.5
0.0, 0.0, 1.5, 0.0, 2010-06-26 00:00:00, 0.0, 14.0
7.0, 7.0, 2.0, 0.0, 2010-06-27 00:00:00, 0.0, 15.0
3.0, 3.0, 5.0, 0.0, 2010-06-28 00:00:00, 0.0, 12.0
0.0, 0.0, 9.5, 0.0, 2010-06-29 00:00:00, 0.0, 17.0
1.5, 1.5, 4.0, 0.0, 2010-06-30 00:00:00, 0.0, 8.5
