station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, SNOW_ON_THE_GROUND, ONE_DAY_SNOW, time, MIN_TEMP, MAX_TEMP
32.2, 32.2, 0.0, 0.0, 2010-07-01 00:00:00, 4.0, 6.0
13.2, 13.2, 0.0, 0.0, 2010-07-02 00:00:00, 4.0, 15.0
0.8, 0.8, 0.0, 0.0, 2010-07-03 00:00:00, 9.5, 13.5
2.2, 2.2, 0.0, 0.0, 2010-07-04 00:00:00, 8.0, 17.0
0.0, 0.0, 0.0, 0.0, 2010-07-05 00:00:00, 7.2, 21.0
0.0, 0.0, 0.0, 0.0, 2010-07-06 00:00:00, 9.5, 24.6
0.0, 0.0, 0.0, 0.0, 2010-07-07 00:00:00, 5.5, 25.2
0.0, 0.0, 0.0, 0.0, 2010-07-08 00:00:00, 9.0, 27.5
0.4, 0.4, 0.0, 0.0, 2010-07-09 00:00:00, 12.0, 23.5
0.0, 0.0, 0.0, 0.0, 2010-07-10 00:00:00, 6.0, 27.0
4.1, 4.1, 0.0, 0.0, 2010-07-12 00:00:00, 8.0, 11.0
0.0, 0.0, 0.0, 0.0, 2010-07-13 00:00:00, 8.0, 21.6
0.0, 0.0, 0.0, 0.0, 2010-07-14 00:00:00, 9.5, 21.3
1.0, 1.0, 0.0, 0.0, 2010-07-15 00:00:00, 8.0, 17.7
2.0, 2.0, 0.0, 0.0, 2010-07-16 00:00:00, 8.0, 14.6
0.2, 0.2, 0.0, 0.0, 2010-07-17 00:00:00, 9.0, 18.7
0.2, 0.2, 0.0, 0.0, 2010-07-18 00:00:00, 8.0, 19.0
2.0, 2.0, 0.0, 0.0, 2010-07-19 00:00:00, 7.5, 22.7
1.4, 1.4, 0.0, 0.0, 2010-07-20 00:00:00, 7.0, 24.3
2.4, 2.4, 0.0, 0.0, 2010-07-21 00:00:00, 11.8, 22.8
1.8, 1.8, 0.0, 0.0, 2010-07-22 00:00:00, 8.5, 14.1
4.8, 4.8, 0.0, 0.0, 2010-07-23 00:00:00, 6.3, 20.3
1.0, 1.0, 0.0, 0.0, 2010-07-24 00:00:00, 2.5, 13.5
0.0, 0.0, 0.0, 0.0, 2010-07-25 00:00:00, 7.5, 18.0
0.0, 0.0, 0.0, 0.0, 2010-07-26 00:00:00, 9.5, 23.0
0.0, 0.0, 0.0, 0.0, 2010-07-27 00:00:00, 6.0, 28.1
2.0, 2.0, 0.0, 0.0, 2010-07-28 00:00:00, 11.5, 25.0
0.0, 0.0, 0.0, 0.0, 2010-07-29 00:00:00, 9.0, 27.7
0.4, 0.4, 0.0, 0.0, 2010-07-30 00:00:00, 8.0, 25.4
1.2, 1.2, 0.0, 0.0, 2010-07-31 00:00:00, 9.2, 27.5
0.0, 0.0, 2.0, 0.0, 2010-11-01 00:00:00, -6.0, 7.5
0.0, 0.0, 0.0, 0.0, 2010-11-02 00:00:00, 3.0, 8.5
0.0, 0.0, 0.0, 0.0, 2010-11-03 00:00:00, -3.5, 7.0
0.0, 0.0, 0.0, 0.0, 2010-11-04 00:00:00, -2.2, 15.0
0.0, 0.0, None, 0.0, 2010-11-05 00:00:00, -0.3, 4.5
0.0, 0.0, None, 0.0, 2010-11-06 00:00:00, -5.0, 4.0
2.0, 0.0, None, 2.0, 2010-11-07 00:00:00, -11.0, -2.5
2.0, 0.0, 2.0, 2.0, 2010-11-08 00:00:00, -5.0, 1.5
0.0, 0.0, 4.0, 0.0, 2010-11-09 00:00:00, -9.7, 0.0
0.0, 0.0, 4.0, 0.0, 2010-11-10 00:00:00, -10.0, 1.0
0.0, 0.0, 3.0, 0.0, 2010-11-11 00:00:00, -11.5, 2.5
0.0, 0.0, 2.0, 0.0, 2010-11-12 00:00:00, -3.2, 5.0
0.2, 0.2, 1.0, 0.0, 2010-11-13 00:00:00, 1.8, 7.5
3.0, 0.0, 0.0, 3.0, 2010-11-14 00:00:00, -0.7, 3.7
1.0, 0.0, 3.0, 1.0, 2010-11-15 00:00:00, -6.5, -2.7
0.0, 0.0, 4.0, 0.0, 2010-11-16 00:00:00, -13.0, -9.0
0.0, 0.0, 4.0, 0.0, 2010-11-17 00:00:00, -18.5, -15.5
0.0, 0.0, 4.0, 0.0, 2010-11-18 00:00:00, -30.5, -11.8
1.0, 0.0, 4.0, 1.0, 2010-11-19 00:00:00, -18.5, -12.3
1.0, 0.0, 5.0, 1.0, 2010-11-20 00:00:00, -23.0, -10.4
0.0, 0.0, 6.0, 0.0, 2010-11-21 00:00:00, -21.2, -16.3
1.0, 0.0, 6.0, 1.0, 2010-11-22 00:00:00, -35.5, -2.0
0.0, 0.0, 7.0, 0.0, 2010-11-23 00:00:00, -26.0, -3.5
2.0, 0.0, 7.0, 2.0, 2010-11-24 00:00:00, -9.2, 3.0
2.0, 0.0, 4.0, 2.0, 2010-11-25 00:00:00, -9.2, 2.6
7.0, 0.0, 5.0, 7.0, 2010-11-26 00:00:00, -9.5, -5.5
0.0, 0.0, 11.0, 0.0, 2010-11-27 00:00:00, -12.0, -8.5
0.0, 0.0, 11.0, 0.0, 2010-11-28 00:00:00, -14.2, -7.5
2.0, 0.0, 11.0, 2.0, 2010-11-29 00:00:00, -15.7, -10.5
3.0, 0.0, 13.0, 3.0, 2010-11-30 00:00:00, -17.0, -12.9
0.0, 0.0, 16.0, 0.0, 2010-12-01 00:00:00, -17.3, -14.8
1.0, 0.0, 16.0, 1.0, 2010-12-02 00:00:00, -20.2, -14.7
0.0, 0.0, 17.0, 0.0, 2010-12-03 00:00:00, -22.5, -10.5
0.0, 0.0, 17.0, 0.0, 2010-12-04 00:00:00, -22.8, 0.0
0.0, 0.0, 15.0, 0.0, 2010-12-05 00:00:00, -3.0, 0.0
0.0, 0.0, 15.0, 0.0, 2010-12-06 00:00:00, -18.2, -12.0
6.0, 0.0, 15.0, 6.0, 2010-12-07 00:00:00, -24.2, -16.8
17.0, 0.0, 21.0, 17.0, 2010-12-08 00:00:00, -20.2, -18.4
12.0, 0.0, 40.0, 12.0, 2010-12-10 00:00:00, -26.2, -23.0
0.0, 0.0, 50.0, 0.0, 2010-12-11 00:00:00, -25.0, -21.2
1.0, 0.0, 50.0, 1.0, 2010-12-12 00:00:00, -30.5, -21.5
0.0, 0.0, 51.0, 0.0, 2010-12-13 00:00:00, -26.5, -18.5
3.0, 0.0, 51.0, 3.0, 2010-12-14 00:00:00, -25.7, -16.4
5.0, 0.0, 54.0, 5.0, 2010-12-15 00:00:00, -25.8, -21.0
1.0, 0.0, 59.0, 1.0, 2010-12-16 00:00:00, -25.5, -19.8
0.0, 0.0, 60.0, 0.0, 2010-12-17 00:00:00, -33.5, -26.5
