station_observations
ONE_DAY_PRECIPITATION, ONE_DAY_RAIN, MIN_TEMP, ONE_DAY_SNOW, time, SNOW_ON_THE_GROUND, MAX_TEMP
0.0, 0.0, -29.0, 0.0, 2010-01-02 00:00:00, 53.0, -23.0
0.0, 0.0, -30.0, 0.0, 2010-01-04 00:00:00, 53.0, -17.0
0.0, 0.0, -23.0, 0.0, 2010-01-05 00:00:00, 52.0, -16.5
0.0, 0.0, -21.5, 0.0, 2010-01-06 00:00:00, 52.0, -8.5
0.0, 0.0, -17.0, 0.0, 2010-01-07 00:00:00, 51.0, -2.0
0.0, 0.0, -5.0, 0.0, 2010-01-08 00:00:00, 50.0, -1.0
0.0, 0.0, -19.0, 0.0, 2010-01-09 00:00:00, 49.0, -17.0
0.0, 0.0, -29.0, 0.0, 2010-01-11 00:00:00, 49.0, -27.0
0.0, 0.0, -30.0, 0.0, 2010-01-12 00:00:00, 52.0, -26.0
0.0, 0.0, -29.0, 0.0, 2010-01-13 00:00:00, 52.0, -15.5
0.0, 0.0, -20.0, 0.0, 2010-01-15 00:00:00, 52.0, -9.5
0.0, 0.0, -21.5, 0.0, 2010-01-16 00:00:00, 52.0, -4.0
0.0, 0.0, -17.0, 0.0, 2010-01-18 00:00:00, 51.0, -4.5
0.0, 0.0, -21.0, 0.0, 2010-01-19 00:00:00, 51.0, -14.0
0.0, 0.0, -21.5, 0.0, 2010-01-20 00:00:00, 51.0, -14.5
0.0, 0.0, -24.5, 0.0, 2010-01-22 00:00:00, 51.0, -13.5
0.0, 0.0, -21.0, 0.0, 2010-01-23 00:00:00, 54.0, -14.5
0.0, 0.0, -20.5, 0.0, 2010-01-25 00:00:00, 54.0, -16.0
0.0, 0.0, -27.0, 0.0, 2010-01-26 00:00:00, 54.0, -16.0
0.0, 0.0, -24.0, 0.0, 2010-01-27 00:00:00, 54.0, -7.0
0.0, 0.0, -22.0, 0.0, 2010-01-28 00:00:00, 54.0, -14.0
0.0, 0.0, -18.5, 0.0, 2010-01-29 00:00:00, 56.0, -14.0
0.0, 0.0, -19.0, 0.0, 2010-01-30 00:00:00, 56.0, -17.0
0.0, 0.0, -22.0, 0.0, 2010-02-01 00:00:00, 62.0, -9.5
2.8, 0.0, -21.5, 2.8, 2010-02-02 00:00:00, 61.0, -14.5
0.0, 0.0, -26.0, 0.0, 2010-02-03 00:00:00, 63.0, -16.5
0.0, 0.0, -21.0, 0.0, 2010-02-04 00:00:00, 61.0, -5.0
0.0, 0.0, -23.0, 0.0, 2010-02-05 00:00:00, 60.0, -13.0
0.0, 0.0, -23.0, 0.0, 2010-02-06 00:00:00, 60.0, -5.5
0.0, 0.0, -12.0, 0.0, 2010-02-08 00:00:00, 57.0, -1.0
0.0, 0.0, -14.5, 0.0, 2010-02-09 00:00:00, 57.0, 0.0
0.0, 0.0, -18.0, 0.0, 2010-02-10 00:00:00, 57.0, -1.5
0.0, 0.0, -12.0, 0.0, 2010-02-13 00:00:00, 57.0, 0.0
0.0, 0.0, -14.0, 0.0, 2010-02-15 00:00:00, 55.0, 5.0
0.0, 0.0, -13.0, 0.0, 2010-02-16 00:00:00, 54.0, -0.5
0.0, 0.0, -10.0, 0.0, 2010-02-17 00:00:00, 54.0, 6.0
0.0, 0.0, -9.0, 0.0, 2010-02-18 00:00:00, 53.0, 8.0
0.0, 0.0, -8.5, 0.0, 2010-02-19 00:00:00, 53.0, 7.5
0.0, 0.0, -9.0, 0.0, 2010-02-20 00:00:00, 52.0, 7.0
0.0, 0.0, -14.5, 0.0, 2010-02-22 00:00:00, 52.0, -6.0
0.0, 0.0, -19.0, 0.0, 2010-02-23 00:00:00, 51.0, -4.0
0.0, 0.0, -17.5, 0.0, 2010-02-24 00:00:00, 51.0, -11.5
0.0, 0.0, -15.0, 0.0, 2010-02-25 00:00:00, 51.0, -9.0
0.0, 0.0, -21.5, 0.0, 2010-02-26 00:00:00, 51.0, -1.0
0.0, 0.0, -13.0, 0.0, 2010-02-27 00:00:00, 51.0, -2.5
0.0, 0.0, -12.0, 0.0, 2010-03-01 00:00:00, 51.0, 12.0
0.0, 0.0, -3.0, 0.0, 2010-03-02 00:00:00, 50.0, 7.5
0.0, 0.0, -3.5, 0.0, 2010-03-03 00:00:00, 49.0, 8.0
0.0, 0.0, -8.0, 0.0, 2010-03-04 00:00:00, 48.0, 8.5
0.0, 0.0, -9.5, 0.0, 2010-03-05 00:00:00, 47.0, 5.0
0.0, 0.0, -6.5, 0.0, 2010-03-06 00:00:00, 46.0, 7.0
0.0, 0.0, -16.5, 0.0, 2010-03-08 00:00:00, 46.0, 0.5
0.0, 0.0, -14.0, 0.0, 2010-03-09 00:00:00, 45.0, 2.5
0.0, 0.0, -12.0, 0.0, 2010-03-10 00:00:00, 45.0, 2.5
0.0, 0.0, -11.0, 0.0, 2010-03-12 00:00:00, 45.0, 2.5
0.0, 0.0, -16.0, 0.0, 2010-03-13 00:00:00, 45.0, 6.0
0.0, 0.0, -7.0, 0.0, 2010-03-15 00:00:00, 44.0, 9.0
0.0, 0.0, -6.5, 0.0, 2010-03-16 00:00:00, 43.0, 7.0
3.4, 0.0, -12.0, 3.4, 2010-03-17 00:00:00, 45.0, -9.0
0.0, 0.0, -20.5, 0.0, 2010-03-19 00:00:00, 48.0, 4.0
1.0, 0.0, -12.0, 1.0, 2010-03-20 00:00:00, 46.0, 1.0
0.2, 0.0, -20.0, 0.2, 2010-03-21 00:00:00, 47.0, -12.5
1.0, 0.0, -19.5, 1.0, 2010-03-22 00:00:00, 47.0, -8.0
4.0, 0.0, -17.0, 4.0, 2010-03-23 00:00:00, 48.0, -10.5
0.2, 0.0, -17.5, 0.2, 2010-03-24 00:00:00, 52.0, -10.0
4.8, 0.0, -16.5, 4.8, 2010-03-25 00:00:00, 52.0, -10.0
0.0, 0.0, -17.5, 0.0, 2010-03-26 00:00:00, 57.0, -5.0
0.0, 0.0, -13.5, 0.0, 2010-03-27 00:00:00, 57.0, 12.5
0.0, 0.0, -7.5, 0.0, 2010-03-29 00:00:00, 52.0, 6.5
6.4, 0.0, -4.0, 6.4, 2010-03-30 00:00:00, 51.0, 2.5
0.0, 0.0, -2.5, 0.0, 2010-03-31 00:00:00, 57.0, 4.5
0.0, 0.0, -8.0, 0.0, 2010-04-01 00:00:00, 54.0, 7.5
0.0, 0.0, -9.0, 0.0, 2010-04-07 00:00:00, 48.0, 8.0
0.0, 0.0, -6.0, 0.0, 2010-04-08 00:00:00, 47.0, 3.0
3.6, 0.0, -7.0, 3.6, 2010-04-09 00:00:00, 46.0, 0.9
2.6, 0.0, -8.5, 2.6, 2010-04-10 00:00:00, 49.0, -3.5
0.0, 0.0, -12.0, 0.0, 2010-04-12 00:00:00, 48.0, 4.5
0.0, 0.0, -10.5, 0.0, 2010-04-13 00:00:00, 48.0, 12.0
0.0, 0.0, -4.5, 0.0, 2010-04-14 00:00:00, 45.0, 14.0
0.0, 0.0, -1.5, 0.0, 2010-04-15 00:00:00, 42.0, 19.0
0.0, 0.0, -1.5, 0.0, 2010-04-16 00:00:00, 37.0, 17.0
0.0, 0.0, -3.0, 0.0, 2010-04-17 00:00:00, 19.0, 13.0
0.0, 0.0, -1.5, 0.0, 2010-04-19 00:00:00, 4.0, 19.0
0.0, 0.0, 2.0, 0.0, 2010-04-21 00:00:00, 0.0, 11.0
0.0, 0.0, -4.0, 0.0, 2010-04-26 00:00:00, 0.0, 10.0
0.0, 0.0, -4.0, 0.0, 2010-04-27 00:00:00, 0.0, 10.5
0.0, 0.0, 1.0, 0.0, 2010-04-28 00:00:00, 0.0, 12.5
0.0, 0.0, -2.5, 0.0, 2010-04-29 00:00:00, 0.0, 16.0
0.0, 0.0, -2.0, 0.0, 2010-04-30 00:00:00, 0.0, 16.0
20.2, 0.0, -3.5, 20.2, 2010-05-03 00:00:00, 22.0, -2.0
0.0, 0.0, -7.0, 0.0, 2010-05-04 00:00:00, 50.0, 1.0
0.0, 0.0, -10.0, 0.0, 2010-05-05 00:00:00, 36.0, 6.0
0.0, 0.0, -8.0, 0.0, 2010-05-06 00:00:00, 27.0, 8.5
11.0, 0.0, -1.5, 11.0, 2010-05-08 00:00:00, 16.0, 13.0
0.0, 0.0, -3.0, 0.0, 2010-05-10 00:00:00, 5.0, 14.0
0.0, 0.0, 2.0, 0.0, 2010-05-12 00:00:00, 0.0, 16.5
0.0, 0.0, 2.0, 0.0, 2010-05-13 00:00:00, 0.0, 14.5
0.0, 0.0, 4.0, 0.0, 2010-05-17 00:00:00, 0.0, 20.0
9.0, 9.0, 5.5, 0.0, 2010-05-18 00:00:00, 0.0, 15.5
9.4, 9.4, 2.0, 0.0, 2010-05-20 00:00:00, 0.0, 7.0
0.2, 0.2, 1.0, 0.0, 2010-05-21 00:00:00, 0.0, 6.0
0.0, 0.0, 3.0, 0.0, 2010-05-22 00:00:00, 0.0, 13.5
0.0, 0.0, -1.5, 0.0, 2010-05-24 00:00:00, 0.0, 15.0
0.0, 0.0, -1.5, 0.0, 2010-05-25 00:00:00, 0.0, 16.5
0.0, 0.0, 1.5, 0.0, 2010-05-26 00:00:00, 0.0, 18.0
0.0, 0.0, 1.5, 0.0, 2010-05-27 00:00:00, 0.0, 19.0
0.0, 0.0, 1.5, 0.0, 2010-05-28 00:00:00, 0.0, 20.5
0.0, 0.0, 4.0, 0.0, 2010-05-31 00:00:00, 0.0, 23.0
0.0, 0.0, 3.0, 0.0, 2010-06-01 00:00:00, 0.0, 23.0
0.0, 0.0, 2.5, 0.0, 2010-06-02 00:00:00, 0.0, 21.0
0.0, 0.0, 4.0, 0.0, 2010-06-04 00:00:00, 0.0, 16.5
0.0, 0.0, 0.0, 0.0, 2010-06-05 00:00:00, 0.0, 19.0
0.0, 0.0, 5.0, 0.0, 2010-06-07 00:00:00, 0.0, 11.5
1.6, 1.6, 4.5, 0.0, 2010-06-08 00:00:00, 0.0, 16.0
0.0, 0.0, 2.0, 0.0, 2010-06-09 00:00:00, 0.0, 18.5
6.2, 6.2, 6.0, 0.0, 2010-06-10 00:00:00, 0.0, 16.5
0.0, 0.0, 5.0, 0.0, 2010-06-11 00:00:00, 0.0, 22.0
0.2, 0.2, 8.0, 0.0, 2010-06-12 00:00:00, 0.0, 23.0
3.6, 3.6, -2.0, 0.0, 2010-06-14 00:00:00, 0.0, 15.0
6.2, 6.2, 6.0, 0.0, 2010-06-15 00:00:00, 0.0, 15.0
0.0, 0.0, 4.0, 0.0, 2010-06-16 00:00:00, 0.0, 22.5
0.0, 0.0, 6.0, 0.0, 2010-06-17 00:00:00, 0.0, 23.5
1.2, 1.2, 11.0, 0.0, 2010-06-18 00:00:00, 0.0, 21.0
0.0, 0.0, 7.5, 0.0, 2010-06-19 00:00:00, 0.0, 22.0
0.0, 0.0, 7.0, 0.0, 2010-06-20 00:00:00, 0.0, 24.5
0.0, 0.0, 11.5, 0.0, 2010-06-21 00:00:00, 0.0, 24.5
3.0, 3.0, 8.5, 0.0, 2010-06-22 00:00:00, 0.0, 19.5
0.0, 0.0, 10.0, 0.0, 2010-06-23 00:00:00, 0.0, 23.5
12.0, 12.0, 10.5, 0.0, 2010-06-24 00:00:00, 0.0, 20.0
9.0, 9.0, 11.5, 0.0, 2010-06-25 00:00:00, 0.0, 15.5
1.2, 1.2, 10.5, 0.0, 2010-06-26 00:00:00, 0.0, 18.0
8.0, 8.0, 7.0, 0.0, 2010-06-28 00:00:00, 0.0, 17.5
2.6, 2.6, 5.5, 0.0, 2010-06-29 00:00:00, 0.0, 17.0
1.0, 1.0, 1.0, 0.0, 2010-06-30 00:00:00, 0.0, 15.5
24.0, 24.0, 4.5, 0.0, 2010-07-01 00:00:00, 0.0, 10.0
8.8, 8.8, 6.0, 0.0, 2010-07-02 00:00:00, 0.0, 19.0
17.7, 17.7, 9.0, 0.0, 2010-07-03 00:00:00, 0.0, 12.5
0.0, 0.0, 8.5, 0.0, 2010-07-05 00:00:00, 0.0, 22.0
0.0, 0.0, 5.0, 0.0, 2010-07-06 00:00:00, 0.0, 25.0
0.0, 0.0, 9.0, 0.0, 2010-07-07 00:00:00, 0.0, 26.0
8.1, 8.1, 11.0, 0.0, 2010-07-09 00:00:00, 0.0, 22.0
10.1, 10.1, 8.0, 0.0, 2010-07-10 00:00:00, 0.0, 27.0
3.3, 3.3, 7.0, 0.0, 2010-07-12 00:00:00, 0.0, 13.0
0.6, 0.6, 9.0, 0.0, 2010-07-13 00:00:00, 0.0, 20.5
6.6, 6.6, 7.0, 0.0, 2010-07-14 00:00:00, 0.0, 21.5
0.3, 0.3, 7.5, 0.0, 2010-07-15 00:00:00, 0.0, 18.5
2.2, 2.2, 9.5, 0.0, 2010-07-16 00:00:00, 0.0, 15.0
0.0, 0.0, 9.0, 0.0, 2010-07-17 00:00:00, 0.0, 21.5
0.0, 0.0, 7.0, 0.0, 2010-07-18 00:00:00, 0.0, 21.5
3.2, 3.2, 9.0, 0.0, 2010-07-19 00:00:00, 0.0, 24.0
0.0, 0.0, 8.0, 0.0, 2010-07-20 00:00:00, 0.0, 26.0
7.0, 7.0, 12.5, 0.0, 2010-07-21 00:00:00, 0.0, 23.5
3.1, 3.1, 9.0, 0.0, 2010-07-22 00:00:00, 0.0, 19.5
0.4, 0.4, 8.5, 0.0, 2010-07-23 00:00:00, 0.0, 23.5
0.0, 0.0, 2.0, 0.0, 2010-07-24 00:00:00, 0.0, 18.0
0.0, 0.0, 12.0, 0.0, 2010-07-26 00:00:00, 0.0, 22.0
